Uniprot ID,Gene Name,Log2 Ratio L/H NormalizedWTday01,Log2 Ratio L/H NormalizedWTday06,Log2 Ratio L/H NormalizedWTday12,Log2 Ratio L/H NormalizedWTday17,Log2 Ratio L/H NormalizedWTday22,Log2 Ratio L/H NormalizedDAF2day01,Log2 Ratio L/H NormalizedDAF2day06,Log2 Ratio L/H NormalizedDAF2day12,Log2 Ratio L/H NormalizedDAF2day17,Log2 Ratio L/H NormalizedDAF2day22,Log2 Ratio L/H NormalizedDAF2day27,Log2 Ratio L/H NormalizedDAF16day01,Log2 Ratio L/H NormalizedDAF16day06,Log2 Ratio L/H NormalizedDAF16day12,Log2 Ratio L/H NormalizedDAF16day17,Log2 Ratio L/H NormalizedHSF1day01,Log2 Ratio L/H NormalizedHSF1day06,Log2 Ratio L/H NormalizedHSF1day12,Peptides WTday01,Peptides WTday06,Peptides WTday12,Peptides WTday17,Peptides WTday22,Peptides DAF2day01,Peptides DAF2day06,Peptides DAF2day12,Peptides DAF2day17,Peptides DAF2day22,Peptides DAF2day27,Peptides DAF16day01,Peptides DAF16day06,Peptides DAF16day12,Peptides DAF16day17,Peptides HSF1day01,Peptides HSF1day06,Peptides HSF1day12,Ratio Count WTday01,Ratio Count WTday06,Ratio Count WTday12,Ratio Count WTday17,Ratio Count WTday22,Ratio Count DAF2day01,Ratio Count DAF2day06,Ratio Count DAF2day12,Ratio Count DAF2day17,Ratio Count DAF2day22,Ratio Count DAF2day27,Ratio Count DAF16day01,Ratio Count DAF16day06,Ratio Count DAF16day12,Ratio Count DAF16day17,Ratio Count HSF1day01,Ratio Count HSF1day06,Ratio Count HSF1day12,log abs.LFQ WTday01,log abs.LFQ WTday06,log abs.LFQ WTday12,log abs.LFQ WTday17,log abs.LFQ WTday22,log abs.LFQ DAF2day01,log abs.LFQ DAF2day06,log abs.LFQ DAF2day12,log abs.LFQ DAF2day17,log abs.LFQ DAF2day22,log abs.LFQ DAF2day27,log abs.LFQ DAF16day01,log abs.LFQ DAF16day06,log abs.LFQ DAF16day12,log abs.LFQ DAF16day17,log abs.LFQ HSF1day01,log abs.LFQ HSF1day06,log abs.LFQ HSF1day12,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids)
A3FPJ3,,0.715272676,-0.442757758,NA,1.205496795,1.299808891,NA,NA,NA,NA,0.812282919,NA,NA,1.000663792,1.915663554,2.233108062,0.609596448,NA,NA,3,2,1,3,2,1,1,1,0,1,0,0,3,3,2,1,1,0,3,2,0,3,3,1,1,1,0,2,0,0,2,2,3,2,1,0,6.397348966,4.318376415,NA,6.06081112,5.36567514,4.90389269,4.616958378,4.650190918,NA,5.40839262,NA,NA,5.771793189,5.794536841,6.179695383,6.090399149,4.397192379,NA,3.21E-30,42.5,106
A3FPK6,,NA,NA,NA,2.696938222,NA,NA,NA,NA,NA,1.802436512,NA,NA,NA,NA,2.7762562,NA,NA,NA,0,1,1,2,1,0,0,0,1,2,1,0,0,0,4,1,0,0,0,1,1,2,1,0,0,0,1,2,1,0,0,0,3,1,0,0,NA,5.464280845,5.907825033,5.152135397,5.791213294,NA,NA,NA,6.033624771,6.274019223,6.168998077,NA,NA,NA,5.83703259,4.535737052,NA,NA,5.25E-16,21,224
A3FPK9,ttr-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,NA,NA,5.733405933,7.35328134,6.430687669,NA,6.259522207,5.627109711,6.24723655,7.470057502,6.630783708,NA,NA,NA,NA,NA,NA,NA,1.00E-86,27.3,132
A3QM90,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.984045773,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.722518753,4.423409728,NA,NA,NA,NA,NA,3.45E-11,8.6,373
A3QM91,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.701107119,NA,NA,NA,0.198791668,NA,NA,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,NA,NA,NA,NA,NA,5.813173855,NA,NA,NA,NA,NA,5.607412128,NA,NA,NA,5.812271463,NA,NA,1.00E-35,19.5,277
A3QM97,,-0.06253622,-0.140778656,-0.434348001,-1.129348967,-1.290778251,-0.03745251,-0.640435837,-0.963770031,-0.832120372,-1.497382436,-1.039910433,-0.444455046,-0.171591153,-0.545573056,-0.708319689,-0.069152202,-0.460899797,-0.616922242,7,5,7,7,3,5,5,3,3,3,3,7,6,6,3,9,4,5,11,6,7,9,3,6,6,3,4,3,3,8,9,6,4,11,6,7,6.119882458,5.54967749,5.763030957,5.308841761,4.769288686,5.607637281,5.462697408,4.936332749,5.02905895,5.194764024,5.648164779,5.36490729,5.490983273,5.081635302,4.651578426,6.063183188,5.117768295,5.374308331,1.99E-93,21.5,811
A3QM98,col-138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246463921,NA,NA,NA,2.82071827,NA,NA,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,5.015527404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15430222,NA,NA,4.503518313,6.15136985,NA,NA,6.74E-84,31,281
A3QMB3,,NA,NA,0.248673399,NA,NA,NA,NA,NA,NA,NA,-0.069289713,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,1,1,1,1,1,0,2,1,1,1,0,1,0,1,0,1,2,0,1,1,1,1,1,0,3,1,1,1,0,1,0,1,NA,3.096040554,4.169292275,NA,3.51008903,3.425990446,3.870193145,3.668087586,3.953392391,NA,4.142702246,3.86465938,3.764855821,3.952550294,NA,4.68660946,NA,3.343743295,3.67E-16,3.9,1259
A3QMB6,oac-59,NA,-0.21400043,NA,NA,NA,NA,NA,NA,-0.836893627,-1.188654118,NA,NA,NA,NA,NA,0.410754251,NA,-0.033652052,1,2,1,0,1,1,1,1,2,3,1,1,1,1,1,2,1,2,1,2,1,0,1,1,1,1,2,3,1,1,1,1,1,2,1,2,4.344411925,5.622452353,4.398217868,NA,3.519998529,3.70244777,4.308564414,5.588406177,5.373095987,6.407917518,4.164679941,4.696400078,4.840131197,4.823024051,4.505177121,5.442511125,3.803361506,6.456350848,2.85E-10,6.5,710
A3QMB9;E1TU65,hpo-12,-0.396817103,-0.01948843,0.475655437,NA,0.389507807,-0.606631732,NA,0.334861952,-0.397802962,NA,0.265344567,NA,NA,NA,NA,-1.12465899,-0.425781539,NA,2,2,2,0,2,2,1,2,2,0,2,1,0,1,0,2,3,1,2,2,3,0,2,2,1,2,2,0,2,1,0,1,0,2,3,1,5.541866183,5.273996114,6.369475614,NA,5.538007878,5.317185508,4.864914337,5.71451417,5.847029451,NA,5.859156317,4.77295215,NA,4.985552208,NA,5.496334506,5.114744388,4.521451918,4.98E-11,14.7,313
A3QMC2;G5EFT4;A3QMC1,AP-1,-0.525267092,-0.002450499,0.317786298,0.448508591,0.55949423,-0.509341141,-0.03562391,0.263334518,0.561856217,0.811902966,0.752412699,-0.612965779,0.173612188,0.409987298,0.741637866,-0.398459827,0.082071837,0.295552941,8,8,9,9,8,8,7,6,8,11,10,10,12,11,10,8,7,8,10,11,12,13,14,11,11,8,14,16,15,15,19,20,15,12,8,11,6.468908301,6.185003556,6.75915394,6.354242934,6.358486888,6.178746797,6.320831473,6.05207803,6.731161512,6.782723382,6.972961496,6.144013466,6.301680949,6.265218888,6.155852025,6.595617455,6.146778989,6.368640129,7.47E-195,36.7,608
A3QMC3,,NA,NA,NA,NA,-0.678612814,NA,NA,NA,NA,NA,NA,NA,-0.565889584,-0.890018587,NA,NA,NA,-0.518434424,1,1,1,1,2,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,1,2,2,1,1,1,2,6.022469613,5.475627611,5.780050748,5.50801769,5.874017704,5.701196561,5.179034466,5.42855592,NA,5.748032894,NA,5.265077378,5.571487553,5.183839037,5.378779331,6.181386195,5.340880173,5.970556068,7.16E-06,16.8,119
A3QMC5,rpl-34,0.323588149,0.301550353,0.02563222,0.058232605,-0.042083959,0.245351898,-0.011638756,-0.077242999,-0.189666447,-0.095721922,-0.21238257,0.572072072,0.246395464,-0.088955682,-0.198996966,0.461501567,0.144313221,-0.003170443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,10,9,7,7,10,9,9,10,15,4,9,10,9,11,5,8,9,8.4954472,7.898900619,8.266066982,7.417239121,7.776388786,7.760007594,7.861301371,7.727118143,7.750199728,8.061113054,7.881230543,7.743345109,7.640113572,7.594580373,7.310926855,8.24787511,7.926717918,7.924403352,2.10E-67,79.1,110
A3QMC6,erl-1,-1.127435184,-0.120219212,0.563859487,0.721253949,0.99412578,-0.925923485,-0.054223347,0.201858218,0.542983637,0.974205752,0.760284246,-1.287708686,0.139553607,0.391531368,0.522674971,-1.127237062,0.070390771,0.543004657,5,5,5,6,7,4,7,5,6,4,3,5,6,6,7,4,5,5,6,7,8,10,10,5,10,9,9,7,8,8,10,10,11,6,6,6,6.002986341,5.670700325,6.129367596,6.139627248,6.316263972,5.57855899,6.28829395,6.117138666,6.108869329,6.376412697,6.466615567,5.483044982,6.040958173,5.863251463,5.893828315,6.016949813,5.84324524,6.040325379,1.16E-106,45.8,312
A3QMC8,tag-335,0.254186135,-0.437014622,-0.316261617,-0.377734578,-0.051163253,0.640613772,0.167976876,-0.157690514,-0.082838815,-0.027861775,-0.105007525,0.332571064,-0.184597684,-0.22527493,0.119447683,0.459694935,-0.173894961,-0.291132012,9,8,6,7,8,7,7,7,7,8,6,8,7,9,7,9,8,6,10,10,10,14,11,8,10,11,11,14,7,14,12,16,11,13,11,8,6.877238849,6.026042721,6.458819082,6.530993258,6.890242122,6.40647205,6.501456385,6.347408084,6.45077241,6.769495485,6.390458181,6.61230693,6.67082082,6.710836361,6.545653424,6.891225144,6.427615924,6.463698931,5.69E-110,40.3,365
A3QMD7,lsy-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.555521697,-0.12498977,NA,NA,-0.134089481,NA,NA,1,1,0,1,0,0,1,1,1,0,0,2,3,1,0,2,0,0,1,1,0,1,0,0,1,1,1,0,0,2,3,1,0,2,0,0,5.062205809,5.378288859,NA,4.491935704,NA,NA,4.662805035,4.210853365,4.477063345,NA,NA,4.950885501,5.592520947,4.697264224,NA,5.393259238,NA,NA,9.63E-14,25.1,247
A4F314,,NA,NA,NA,2.958700937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,6.960532611,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.181643538,NA,NA,NA,NA,6.09E-05,9.9,162
A4F325,,-0.01649632,-0.037593076,-0.319271091,0.230363652,0.152339762,-0.067776372,-0.269033146,-0.085152681,-0.078473209,-0.398569276,0.005695446,-0.27524549,-0.069839625,0.024516548,-0.130008304,0.23908928,-0.362890643,0.136251808,1,2,2,2,2,2,1,2,2,3,1,3,2,2,1,1,3,2,2,3,3,4,3,4,3,3,2,3,2,6,4,4,2,2,5,4,4.983784102,5.07371835,5.279347492,5.309651456,4.839559745,5.211040406,4.711756629,5.093421685,5.220500346,5.721728199,5.292455447,5.023293623,5.016615548,4.901087623,4.424930614,5.428782511,4.896090602,5.152716311,5.74E-36,9.8,388
A4F329,fbxa-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.035709838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.16E-08,14.1,305
A4F333,fbxa-37,NA,NA,NA,NA,NA,NA,0.074851263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,0,1,0,0,0,0,0,NA,NA,NA,NA,3.598757687,3.939164684,4.712818,3.752747368,3.716679314,4.519736139,4.427421187,NA,4.959885298,NA,NA,NA,NA,NA,7.38E-18,12.6,302
A4LBC1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6740432,5.948774727,NA,NA,NA,NA,NA,NA,NA,1.07E-32,13.2,167
A4UVK2,,-0.116897018,-0.166843964,-0.265076777,-0.243912759,-0.123666196,0.037103069,0.015592935,0.207527752,-0.098015234,-0.390337512,-0.038717108,-0.148218272,-0.445302942,0.035934123,0.200199814,0.081110055,0.311022965,0.603336314,2,4,3,2,3,2,3,4,4,2,3,4,2,2,2,4,4,3,2,6,3,4,3,2,3,3,5,2,5,5,3,5,4,5,4,2,6.753720908,6.628031128,6.692538487,6.14940388,6.134463992,6.09565744,6.571161252,6.384514699,6.498655095,6.294113356,6.90311713,6.444185372,6.152165991,6.1604085,6.095622595,7.002856926,6.541778874,6.489170694,2.67E-92,45.3,234
A4UVK7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,3.303476854,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.791606448,NA,NA,NA,NA,NA,NA,2.52E-12,5.5,457
A4UVL1,,2.348280087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.818074062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.811903283,NA,NA,1.01E-49,16.8,226
A4UZ35,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,5.420681718,5.249100477,5.124080157,4.951089696,5.009620841,5.260977211,5.144636468,5.361746718,5.023046584,5.202406573,NA,5.15854341,4.975091593,4.696181587,4.881989166,5.72763884,5.076967952,5.10994958,7.99E-27,24.3,115
A5A8P5,,NA,0.984245543,0.589246446,NA,NA,NA,NA,NA,NA,NA,0.393842075,NA,1.295021829,1.418157091,1.18452294,NA,NA,NA,2,2,2,0,2,0,1,2,2,2,2,0,2,1,1,2,2,2,1,2,2,0,1,0,0,1,1,1,2,0,3,2,2,1,1,1,6.816559445,6.672273388,6.095831625,NA,6.533390708,NA,NA,6.425044875,6.733614501,7.239799818,7.066325925,NA,7.076494805,6.897302624,5.931066117,7.138397443,6.50497351,6.297782389,4.29E-74,36.6,112
A5A8P8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.681395023,NA,NA,2.35E-12,1.1,1594
A5A8Q1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5.528080714,5.846640146,6.020485586,NA,NA,NA,NA,NA,NA,NA,0.00058639,11.9,84
A5A8Q6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4.870099441,4.524694638,5.095483186,NA,NA,NA,4.9028239,NA,NA,NA,NA,NA,NA,NA,3.797586045,NA,NA,NA,5.86E-07,2.7,474
O61843;A5A8Q9;B1V8A0;A5A8R0,unc-57,-0.360982241,-0.509543838,-0.228356954,-0.152248331,0.054527134,-0.519642543,-0.266996372,-0.181675061,-0.168513676,-0.068189259,-0.014212445,-0.556502989,-0.463727072,-0.295840551,-0.047259175,-0.282973489,-0.321581807,-0.09328973,8,7,9,7,8,8,9,9,8,7,8,9,8,8,8,10,8,7,13,9,12,15,19,14,16,17,15,17,14,18,14,16,12,14,11,13,6.634285776,6.254064453,6.379106005,6.435143326,6.556784782,6.428021344,6.624673919,6.477237051,6.61476016,6.966460881,6.981687257,6.537730968,6.273417995,6.28171497,6.357172258,6.817022989,6.151247237,6.434521001,4.73E-213,50.1,377
A5A8R1;Q5ZR35;Q5ZR41;Q5ZR36;Q5ZR39;Q5ZR40;Q5ZR42,mec-1,NA,NA,NA,-0.004177761,NA,0.17424693,-0.268194823,-0.960659975,-0.952631767,NA,NA,-0.063226802,-0.639510023,NA,NA,0.03377628,NA,-0.289598422,1,1,1,2,1,2,2,2,2,0,0,2,2,1,1,2,0,2,1,1,1,2,1,2,2,2,2,0,0,2,2,1,1,2,0,2,4.151676231,4.104589527,3.925430707,4.312600439,3.484513374,4.627847001,4.351158307,4.283708189,4.208441356,NA,NA,4.484627217,4.120902818,3.935280487,3.07878296,4.667163327,NA,4.277058836,2.03E-11,3.6,954
A5A8R5,,-0.289716448,NA,NA,NA,0.529280939,NA,0.203933907,NA,1.70783079,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,2,3,2,2,2,3,0,2,1,2,2,0,1,2,2,2,1,0,0,3,1,2,1,2,0,1,0,1,1,0,1,1,1,5.057437868,4.573463419,NA,NA,6.718759034,4.989881228,5.683578318,5.007577098,6.244178125,NA,5.485664652,NA,6.061716293,6.422999977,NA,5.181700704,4.050650381,4.971057719,2.68E-12,25,128
A5HU97;O45160,,-1.504417003,-0.357045213,0.056416185,1.331154717,1.758672323,0.451070231,-0.959621798,-0.113700499,0.394107475,0.444556835,0.88379496,-1.756596351,0.025779083,1.498871721,2.065340085,-1.813894038,0.000418442,1.296438562,3,6,7,6,4,2,3,4,4,5,7,5,6,7,7,4,5,5,8,8,11,13,12,3,6,8,9,12,11,8,16,19,17,5,8,11,6.465323355,6.232284402,6.621508629,6.777941291,7.080770747,5.773757199,6.361028626,6.512671058,6.823695884,7.178343739,7.278845022,6.044186851,6.800435245,7.060584531,7.146593102,6.174495919,6.439032532,6.934887122,1.24E-170,50.5,200
A5HU98;P91425,guk-1,0.017650707,-0.355129058,-0.406318971,-0.241474126,-0.264716569,-0.085696581,-0.311968051,-0.475396222,-0.496206666,-0.432424977,-0.170309669,-0.102456577,-0.480678739,-0.358733827,-0.287472295,-0.211759833,-0.181929438,-0.162338958,8,8,9,6,8,9,9,7,8,9,7,8,7,6,6,8,8,7,12,13,13,12,14,14,15,12,14,13,12,16,14,11,12,11,13,9,7.012119836,6.563374279,6.702033976,6.905553039,6.783160071,6.846009102,6.91755277,6.703385967,6.787467559,6.984257202,7.367803033,6.995512346,6.803962133,6.732723377,6.351796307,7.170437745,6.419145852,6.756050062,2.72E-181,61,205
A5HWA5;Q9U2F1,,1.033480936,NA,-0.074505436,NA,NA,NA,NA,NA,NA,NA,NA,2.015432523,0.984959233,NA,NA,NA,NA,NA,2,0,2,1,1,1,1,1,0,1,0,2,1,1,0,1,0,1,2,0,2,1,1,1,1,1,0,1,0,2,2,1,0,1,0,1,6.011781831,NA,5.738574457,4.537680602,4.855507041,5.10591874,5.049838001,4.927473021,NA,5.260810491,NA,5.683263231,5.329011216,4.418301291,NA,5.609103283,NA,4.850002586,1.51E-06,7.2,360
