Uniprot ID,Gene Name,Log2 Ratio L/H AgWTD01.1,Log2 Ratio L/H AgWTD01.2,Log2 Ratio L/H AgWTD01.3,Log2 Ratio L/H AgWTD01.4,Log2 Ratio L/H AgWTD06,Log2 Ratio L/H AgWTD12.1,Log2 Ratio L/H AgWTD12.2,Log2 Ratio L/H AgWTD12.3,Log2 Ratio L/H AgWTD12.4,Log2 Ratio L/H AgWTD17,Log2 Ratio L/H AgDAF2D01,Log2 Ratio L/H AgDAF2D06,Log2 Ratio L/H AgDAF2D12,Log2 Ratio L/H AgDAF2D17,Log2 Ratio L/H AgDAF2D22,Log2 Ratio L/H AgDAF2D28,Log2 Ratio L/H AgDAF16D01,Log2 Ratio L/H AgDAF16D06,Log2 Ratio L/H AgDAF16D12,Log2 Ratio L/H AgHSF1D01,Log2 Ratio L/H AgHSF1D06,Peptides AgWTD01.1,Peptides AgWTD01.2,Peptides AgWTD01.3,Peptides AgWTD01.4,Peptides AgWTD06,Peptides AgWTD12.1,Peptides AgWTD12.2,Peptides AgWTD12.3,Peptides AgWTD12.4,Peptides AgWTD17,Peptides AgDAF2D01,Peptides AgDAF2D06,Peptides AgDAF2D12,Peptides AgDAF2D17,Peptides AgDAF2D22,Peptides AgDAF2D28,Peptides AgDAF16D01,Peptides AgDAF16D06,Peptides AgDAF16D12,Peptides AgHSF1D01,Peptides AgHSF1D06,Ratio Count AgWTD01.1,Ratio Count AgWTD01.2,Ratio Count AgWTD01.3,Ratio Count AgWTD01.4,Ratio Count AgWTD06,Ratio Count AgWTD12.1,Ratio Count AgWTD12.2,Ratio Count AgWTD12.3,Ratio Count AgWTD12.4,Ratio Count AgWTD17,Ratio Count AgDAF2D01,Ratio Count AgDAF2D06,Ratio Count AgDAF2D12,Ratio Count AgDAF2D17,Ratio Count AgDAF2D22,Ratio Count AgDAF2D28,Ratio Count AgDAF16D01,Ratio Count AgDAF16D06,Ratio Count AgDAF16D12,Ratio Count AgHSF1D01,Ratio Count AgHSF1D06,log abs.LFQ AgWTD01.1,log abs.LFQ AgWTD01.2,log abs.LFQ AgWTD01.3,log abs.LFQ AgWTD01.4,log abs.LFQ AgWTD06,log abs.LFQ AgWTD12.1,log abs.LFQ AgWTD12.2,log abs.LFQ AgWTD12.3,log abs.LFQ AgWTD12.4,log abs.LFQ AgWTD17,log abs.LFQ AgDAF2D01,log abs.LFQ AgDAF2D06,log abs.LFQ AgDAF2D12,log abs.LFQ AgDAF2D17,log abs.LFQ AgDAF2D22,log abs.LFQ AgDAF2D28,log abs.LFQ AgDAF16D01,log abs.LFQ AgDAF16D06,log abs.LFQ AgDAF16D12,log abs.LFQ AgHSF1D01,log abs.LFQ AgHSF1D06,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids),log abs.LFQ AgWTD01.1 Corrected,log abs.LFQ AgWTD01.2 Corrected,log abs.LFQ AgWTD01.3 Corrected,log abs.LFQ AgWTD01.4 Corrected,log abs.LFQ AgWTD06 Corrected,log abs.LFQ AgWTD12.1 Corrected,log abs.LFQ AgWTD12.2 Corrected,log abs.LFQ AgWTD12.3 Corrected,log abs.LFQ AgWTD12.4 Corrected,log abs.LFQ AgWTD17 Corrected,log abs.LFQ AgDAF2D01 Corrected,log abs.LFQ AgDAF2D06 Corrected,log abs.LFQ AgDAF2D12 Corrected,log abs.LFQ AgDAF2D17 Corrected,log abs.LFQ AgDAF2D22 Corrected,log abs.LFQ AgDAF2D28 Corrected,log abs.LFQ AgDAF16D01 Corrected,log abs.LFQ AgDAF16D06 Corrected,log abs.LFQ AgDAF16D12 Corrected,log abs.LFQ AgHSF1D01 Corrected,log abs.LFQ AgHSF1D06 Corrected
A3FPJ3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21E-30,42.5,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3FPK6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.221205518,NA,NA,NA,NA,NA,NA,NA,NA,5.25E-16,21,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.012464941,NA,NA,NA,NA,NA,NA,NA,NA
A3FPK9,ttr-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-86,27.3,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QM90,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45E-11,8.6,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QM91,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-35,19.5,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QM97,,NA,NA,NA,NA,0.354021725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4.619155965,NA,NA,4.621965191,NA,4.512070401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99E-93,21.5,811,NA,4.31914351,NA,NA,4.371985959,NA,4.011246382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QM98,col-138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.74E-84,31,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QMB3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67E-16,3.9,1259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QMB6,oac-59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85E-10,6.5,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QMB9;E1TU65,hpo-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.98E-11,14.7,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QMC2;G5EFT4;A3QMC1,AP-1,-1.389511746,-1.344885295,-1.778965477,-1.310049225,-1.306787185,0.542353181,0.143054137,0.344263504,NA,0.678626006,-1.655672392,-1.091395186,1.190964287,2.056551212,2.057631883,2.397828209,NA,NA,0.150000741,-1.070526721,0.178844931,6,3,2,3,4,9,5,2,1,2,2,2,9,6,4,5,1,1,2,2,2,6,3,2,3,4,11,7,2,1,5,2,2,10,6,5,10,1,1,4,2,5,4.993471502,5.04602667,4.245216457,4.43031698,5.209193196,6.169880073,5.861994149,4.65047266,4.646619349,4.880967854,4.272815934,4.281124309,6.720737977,5.750415818,5.632406672,5.887088174,3.599391758,3.735303415,4.762070576,4.53879987,5.108294351,7.47E-195,36.7,608,4.598533244,4.746014215,4.563182241,5.132491104,4.959213963,5.782041229,5.36117013,4.909400182,4.911688281,5.065299701,4.418070838,4.558169366,5.5119974,5.810291026,5.83941673,6.159056782,3.872105167,4.169760952,4.991311006,4.817990579,5.243665855
A3QMC3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16E-06,16.8,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QMC5,rpl-34,1.011064511,0.850402441,0.946582775,NA,0.258977486,NA,0.359434597,0.484711428,0.536210163,0.586167654,0.964094616,-0.048654702,0.372916175,1.033569533,1.323046617,1.249273454,0.850012316,NA,0.09054177,NA,0.274459504,3,3,1,0,1,0,3,2,1,1,1,2,1,2,1,1,2,0,1,0,1,5,4,2,0,2,0,4,3,2,2,3,3,2,3,2,2,3,0,3,0,2,7.183668357,6.927965442,5.965239341,NA,6.231851724,NA,6.987894076,6.205339721,6.31793804,6.367449107,6.509041145,6.121953584,7.220526484,6.710709566,6.47424541,6.382341291,6.645677662,NA,5.789347992,NA,5.907099503,2.10E-67,79.1,110,6.788730099,6.627952987,6.283205125,NA,5.981872491,NA,6.487070056,6.464267244,6.583006971,6.551780954,6.654296049,6.39899864,6.011785907,6.770584774,6.681255468,6.654309899,6.91839107,NA,6.018588422,NA,6.042471007
A3QMC6,erl-1,-0.568129417,-1.130140135,NA,NA,NA,1.108674144,0.461044732,NA,0.476839545,1.374635984,NA,NA,1.072300722,NA,NA,2.261949907,NA,-1.875150958,NA,NA,NA,5,2,1,0,1,4,3,1,1,2,0,0,7,0,0,4,0,2,1,1,0,5,2,1,0,1,5,5,1,2,2,0,0,7,0,0,5,0,2,1,1,0,5.734535813,4.905310062,3.953261828,NA,4.564618727,6.148602655,5.789897857,4.649480897,4.813801082,4.611340876,NA,NA,6.971131988,NA,NA,5.921207708,NA,4.156458285,3.759584754,4.885649523,NA,1.16E-106,45.8,312,5.339597555,4.605297607,4.271227611,NA,4.314639495,5.760763811,5.289073838,4.90840842,5.078870014,4.795672722,NA,NA,5.762391411,NA,NA,6.193176316,NA,4.590915822,3.988825184,5.164840232,NA
A3QMC8,tag-335,-1.787641414,-1.658417159,-1.522658421,NA,-1.059216817,0.643180085,0.378831937,0.718687509,0.652311669,0.517007197,-1.215243704,NA,1.156209064,2.147713452,NA,1.885020043,NA,-1.112900262,0.540169728,-0.807190033,1.023973705,2,3,2,1,3,3,4,2,3,3,1,0,7,2,1,3,0,2,3,3,4,2,4,2,1,3,3,4,3,4,4,2,0,8,2,1,4,0,2,4,3,6,5.278593568,5.597212368,4.489944424,3.854245297,5.488409689,6.198602109,6.033303101,5.24647396,5.376613451,5.165363051,4.750654935,NA,6.950121348,5.591153684,5.397435935,5.652893914,NA,4.383384447,5.671913012,4.948681871,5.449601805,5.69E-110,40.3,365,4.88365531,5.297199913,4.807910208,4.556419422,5.238430456,5.810763266,5.532479082,5.505401482,5.641682383,5.349694898,4.89590984,NA,5.741380771,5.651028892,5.604445993,5.924862523,NA,4.817841984,5.901153442,5.22787258,5.584973309
A3QMD7,lsy-13,NA,NA,NA,NA,NA,NA,0.854570351,NA,NA,NA,NA,NA,1.551648752,2.418195647,2.128976477,NA,NA,NA,NA,NA,1.53951953,1,0,0,0,0,1,2,1,0,0,1,0,3,2,2,1,0,0,0,0,2,1,0,0,0,0,1,2,1,0,0,1,0,4,2,2,1,0,0,0,0,2,4.483815438,NA,NA,NA,NA,5.042102768,5.267429881,4.212507213,NA,NA,4.613302582,NA,6.386338416,5.322818621,5.153509989,4.48732224,NA,NA,NA,NA,5.172340174,9.63E-14,25.1,247,4.08887718,NA,NA,NA,NA,4.654263924,4.766605861,4.471434735,NA,NA,4.758557487,NA,5.177597839,5.382693829,5.360520047,4.759290848,NA,NA,NA,NA,5.307711678
A4F314,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09E-05,9.9,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4F325,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74E-36,9.8,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4F329,fbxa-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.09068409,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,4.02378728,NA,NA,NA,NA,4.890923771,5.540742296,NA,NA,NA,NA,5.367784412,5.444122899,5.883939522,3.991248233,NA,NA,NA,NA,NA,NA,6.16E-08,14.1,305,3.628849022,NA,NA,NA,NA,4.503084928,5.039918277,NA,NA,NA,NA,5.644829469,4.235382322,5.94381473,4.198258291,NA,NA,NA,NA,NA,NA
A4F333,fbxa-37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38E-18,12.6,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4LBC1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.702016726,NA,NA,NA,NA,NA,NA,NA,NA,1.07E-32,13.2,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.493276149,NA,NA,NA,NA,NA,NA,NA,NA
