N. furzeri Protein Id	Human
XP_015831148.1	DHX35
XP_015801236.1	DHX35
XP_015817321.1	
XP_015807774.1	RERG
XP_015809303.1	RERG
XP_015805125.1	RERG
XP_015827311.1	MEGF9
XP_015817108.1	UGT2A3
XP_015796290.1	LHX6
XP_015816074.1	LHX6
XP_015831938.1	TNC
XP_015796078.1	TNC
XP_015827335.1	TNC
XP_015796368.1	TNC
XP_015798635.1	TNC
XP_015828966.1	SLC30A2
XP_015803244.1	SLC30A2
XP_015810152.1	HACD1
XP_015827810.1	CHRNA3
XP_015801970.1	CHRNA3
XP_015808355.1	CHRNA3
XP_015827430.1	FIGLA
XP_015798596.1	
XP_015815424.1	GXYLT2
XP_015813162.1	IPP
XP_015819526.1	DNAJB9
XP_015813081.1	DNAJB9
XP_015818586.1	VAT1
XP_015804362.1	VAT1
XP_015813891.1	DHRS3
XP_015829293.1	SPIRE1
XP_015810217.1	ATP7B
XP_015796862.1	ATP7B
XP_015810174.1	FASTKD3
XP_015826839.1	BEND5
XP_015796075.1	C4B
XP_015828195.1	GCNT1
XP_015828193.1	GCNT1
XP_015828194.1	GCNT1
XP_015830305.1	YBEY
XP_015798780.1	FSD1L
XP_015796677.1	CD207
XP_015797448.1	CD207
XP_015817884.1	FGD6
XP_015819633.1	FGD6
XP_015824565.1	ENPEP
XP_015807834.1	
XP_015810282.1	FBXL7
XP_015819780.1	TPO
XP_015825970.1	TPO
XP_015824241.1	NSFL1C
XP_015815004.1	TMEM167B
XP_015813681.1	H2AFZ
XP_015823026.1	RER1
XP_015807323.1	VMP1
XP_015822113.1	GALNT13
XP_015823065.1	RIMKLA
XP_015820016.1	LYSMD3
XP_015827890.1	LYSMD3
XP_015821197.1	RRP1
XP_015810906.1	SPAG6
XP_015801486.1	RAN
XP_015804804.1	LAPTM4B
XP_015829239.1	LAPTM4B
XP_015806015.1	LIPE
XP_015829535.1	LIPE
XP_015800540.1	ZC3H15
XP_015803475.1	TMEM244
XP_015805969.1	TMEM244
XP_015818461.1	CHST15
XP_015800315.1	CHST15
XP_015825588.1	TMEM179
XP_015803767.1	TMEM179
XP_015826472.1	AK4
XP_015818628.1	ATRNL1
XP_015827450.1	TXNRD2
XP_015812506.1	ATXN10
XP_015824936.1	ARG2
XP_015798153.1	MAP1S
XP_015807743.1	TMSB4X
XP_015830741.1	TMSB4X
XP_015806176.1	CCDC9
XP_015806781.1	GAB2
XP_015805978.1	NMT2
XP_015826288.1	CRTC1
XP_015812609.1	PRKAB2
XP_015810611.1	CELA2A
XP_015818319.1	CELA2A
XP_015827876.1	CELA2A
XP_015823054.1	CELA2A
XP_015825157.1	HLTF
XP_015825809.1	C14orf28
XP_015831319.1	DNPH1
XP_015817853.1	BCL6
XP_015832719.1	BCL6
XP_015831292.1	BCL6
XP_015811302.1	GPNMB
XP_015803719.1	TSHR
XP_015829862.1	TSHR
XP_015823013.1	GPR160
XP_015819743.1	ANO3
XP_015809431.1	PHKB
XP_015812113.1	KISS1R
XP_015824533.1	SYNE2
XP_015824386.1	SYNE2
XP_015803125.1	SYNE2
XP_015824539.1	SYNE2
XP_015806295.1	SYNE2
XP_015824534.1	SYNE2
XP_015824532.1	SYNE2
XP_015830885.1	
XP_015826071.1	ACTL6A
XP_015815109.1	SMARCC2
XP_015816146.1	HLCS
XP_015828307.1	ELAC1
XP_015796914.1	ZNF845
XP_015829065.1	ZNF845
XP_015808359.1	SHF
XP_015827678.1	SF3A1
XP_015825114.1	PCCB
XP_015800806.1	PDE6H
XP_015809743.1	PDE6H
XP_015808296.1	PDE6H
XP_015819027.1	NEURL2
XP_015815812.1	ACTB
XP_015798975.1	AKNA
XP_015810650.1	VIPR1
XP_015812096.1	VIPR1
XP_015826702.1	VIPR1
XP_015812895.1	VIPR1
XP_015831958.1	MUSK
XP_015798608.1	TBCA
XP_015813985.1	COX6C
XP_015810702.1	TMPRSS7
XP_015830270.1	EEF2KMT
XP_015796664.1	EEF2KMT
XP_015803111.1	PCMT1
XP_015825495.1	PCMT1
XP_015811946.1	ZNF622
XP_015811588.1	ARHGAP30
XP_015832041.1	C1QL3
XP_015812134.1	C1QL3
XP_015818069.1	C1QL3
XP_015803340.1	C1QL3
XP_015826573.1	HENMT1
XP_015810021.1	ASCL4
XP_015822830.1	LAMA5
XP_015804407.1	MMD
XP_015803586.1	SMAD5
XP_015801928.1	CXCL2
XP_015809655.1	CXCL2
XP_015814060.1	PHC2
XP_015824147.1	PHC2
XP_015820674.1	NLRC5
XP_015830042.1	DBT
XP_015811428.1	JAZF1
XP_015830458.1	JAZF1
XP_015816733.1	ZNF346
XP_015815956.1	TRIM35
XP_015814152.1	TRIM35
XP_015800605.1	TRIM35
XP_015815957.1	TRIM35
XP_015816413.1	TRIM35
XP_015811967.1	TRIM35
XP_015816040.1	TRIM35
XP_015813830.1	TRIM35
XP_015805822.1	TRIM35
XP_015813927.1	TRIM35
XP_015820601.1	ZNF423
XP_015806297.1	CLIP3
XP_015819601.1	CIB2
XP_015808717.1	CIB2
XP_015802173.1	IGFBP2
XP_015797335.1	IGFBP2
XP_015828429.1	CDO1
XP_015823451.1	TNNI1
XP_015819517.1	TNNI1
XP_015806206.1	TNNI1
XP_015814104.1	TNNI1
XP_015819513.1	TNNI1
XP_015832556.1	ARPC3
XP_015801482.1	KIF20B
XP_015817992.1	KIF20B
XP_015830965.1	ACTC1
XP_015825753.1	ACTC1
XP_015825288.1	ACTC1
XP_015808241.1	ACTC1
XP_015803159.1	ACTC1
XP_015812557.1	SCN8A
XP_015823283.1	SCN8A
XP_015810046.1	WIPF2
XP_015796541.1	WIPF2
XP_015830007.1	WIPF2
XP_015798222.1	FARS2
XP_015831733.1	STOML2
XP_015828220.1	EGFLAM
XP_015820469.1	TTC38
XP_015796593.1	EPX
XP_015810397.1	PRMT6
XP_015825625.1	FAM161B
XP_015807418.1	ZBBX
XP_015809368.1	TUBE1
XP_015798100.1	TUBE1
XP_015807426.1	OR52J3
XP_015816627.1	KDM6B
XP_015801683.1	KDM6B
XP_015811353.1	C1orf50
XP_015822590.1	PINK1
XP_015815329.1	IRF6
XP_015796163.1	
XP_015825631.1	ALDH6A1
XP_015819123.1	ZDHHC16
XP_015799776.1	ZDHHC16
XP_015798813.1	
XP_015818256.1	WNK4
XP_015822418.1	WNK4
XP_015798032.1	TM2D2
XP_015828239.1	RMI1
XP_015806350.1	ARRB1
XP_015811981.1	ARRB1
XP_015797094.1	ZNF721
XP_015797101.1	ZNF721
XP_015805546.1	UTP11L
XP_015830146.1	
XP_015824695.1	MED6
XP_015819734.1	CLPX
XP_015814737.1	NAT8
XP_015824860.1	NAT8
XP_015824859.1	NAT8
XP_015802154.1	ECT2L
XP_015831862.1	ELOVL5
XP_015800715.1	FOXD4
XP_015828332.1	FOXD4
XP_015815178.1	CYP27B1
XP_015814295.1	HYAL2
XP_015814465.1	HYAL2
XP_015822980.1	HYAL2
XP_015803313.1	XPNPEP2
XP_015809210.1	ETV6
XP_015797990.1	TMEM208
XP_015802514.1	USP53
XP_015799258.1	USP53
XP_015821888.1	DCT
XP_015828835.1	DEPTOR
XP_015831416.1	DEPTOR
XP_015814525.1	SLC45A1
XP_015803577.1	PPP2R5D
XP_015801465.1	PPP2R5D
XP_015796585.1	
XP_015803341.1	
XP_015823842.1	AAAS
XP_015815311.1	SRGAP3
XP_015823305.1	SRGAP3
XP_015814386.1	SRGAP3
XP_015823498.1	SRGAP3
XP_015815302.1	PARP3
XP_015817387.1	EMSY
XP_015832763.1	PEAK1
XP_015807657.1	PEAK1
XP_015805276.1	MOSPD1
XP_015830873.1	CAMK2D
XP_015813607.1	CAMK2D
XP_015809657.1	CAMK2D
XP_015818074.1	DCAKD
XP_015800250.1	
XP_015819552.1	YAF2
XP_015813318.1	YAF2
XP_015800512.1	CNRIP1
XP_015828392.1	CNRIP1
XP_015801424.1	YPEL3
XP_015819507.1	KCNA3
XP_015823469.1	KCNA3
XP_015814128.1	KCNA3
XP_015823471.1	KCNA3
XP_015827346.1	OGFOD2
XP_015811600.1	VANGL2
XP_015802095.1	VANGL2
XP_015797413.1	
XP_015829806.1	TOMM70A
XP_015805586.1	THEMIS2
XP_015827109.1	SBNO2
XP_015831181.1	APBA1
XP_015826311.1	APBA1
XP_015798957.1	APBA1
XP_015816202.1	RP11-108O10.8
XP_015808523.1	TRADD
XP_015806148.1	INO80C
XP_015818509.1	DDIT4
XP_015831477.1	DDIT4
XP_015810371.1	FZD8
XP_015811522.1	FZD8
XP_015805988.1	RUNDC3B
XP_015822942.1	TAS1R2
XP_015822930.1	TAS1R2
XP_015806458.1	VPS37D
XP_015827942.1	NOL6
XP_015814327.1	SFI1
XP_015818234.1	OMG
XP_015816565.1	OMG
XP_015803065.1	FAM89A
XP_015814033.1	MCM2
XP_015797403.1	HIBADH
XP_015811426.1	HIBADH
XP_015823302.1	GALNT6
XP_015823860.1	GALNT6
XP_015808437.1	SLC38A8
XP_015820696.1	SLC38A8
XP_015818634.1	PDE6C
XP_015827250.1	DHCR24
XP_015816127.1	PEX26
XP_015812586.1	TICAM1
XP_015826562.1	FNDC7
XP_015826587.1	FNDC7
XP_015812602.1	FNDC7
XP_015826009.1	FNDC7
XP_015812601.1	FNDC7
XP_015813200.1	FNDC7
XP_015826550.1	FNDC7
XP_015826579.1	FNDC7
XP_015809222.1	SLC22A18
XP_015820251.1	PPFIBP1
XP_015820756.1	PPFIBP1
XP_015816679.1	PPFIBP1
XP_015801189.1	SREBF1
XP_015814785.1	SLC25A26
XP_015808038.1	SLITRK5
XP_015821884.1	SLITRK5
XP_015821253.1	HSPE1-MOB4
XP_015823145.1	UBE4B
XP_015811108.1	CYB5A
XP_015808453.1	CYB5A
XP_015814561.1	ATG7
XP_015817228.1	DDX52
XP_015814871.1	NOP56
XP_015808902.1	PCDH9
XP_015832074.1	
XP_015831207.1	MAST2
XP_015831203.1	MAST2
XP_015813243.1	MAST2
XP_015815401.1	TRNT1
XP_015810777.1	RTTN
XP_015797008.1	RTN4
XP_015821089.1	RTN4
XP_015832471.1	RTN4
XP_015809624.1	FAM114A1
XP_015812688.1	ABHD17C
XP_015826992.1	ABHD17C
XP_015830062.1	DYRK2
XP_015815065.1	DYRK2
XP_015796632.1	ZBTB8B
XP_015830815.1	SLC5A7
XP_015820044.1	SLC5A7
XP_015808197.1	SLC5A7
XP_015803574.1	NKAPL
XP_015796558.1	FAM136A
XP_015826489.1	KANK4
XP_015813139.1	KANK4
XP_015817734.1	KDM4A
XP_015832267.1	KDM4A
XP_015832266.1	KDM4A
XP_015811851.1	PRKCI
XP_015808948.1	IL18RAP
XP_015826646.1	CCDC151
XP_015799095.1	SERPING1
XP_015797212.1	C4orf32
XP_015816682.1	TMEM211
XP_015822501.1	C3
XP_015824898.1	C3
XP_015823710.1	C3
XP_015830019.1	C3
XP_015823332.1	CACNA1S
XP_015806233.1	TGFB1
XP_015832191.1	PCDHGA5
XP_015832201.1	PCDHGA5
XP_015826010.1	PDCD11
XP_015820186.1	SEPHS1
XP_015819124.1	GET4
XP_015831136.1	NRDE2
XP_015808977.1	ACE2
XP_015803109.1	LATS1
XP_015819350.1	FAT1
XP_015805467.1	FAT1
XP_015809347.1	FAT1
XP_015805464.1	FAT1
XP_015820439.1	FAT1
XP_015811317.1	DYNC1I1
XP_015811315.1	DYNC1I1
XP_015803583.1	RPS29
XP_015798690.1	OLFML3
XP_015815193.1	OLFML3
XP_015807948.1	SFTPD
XP_015796578.1	SFTPD
XP_015820685.1	SFTPD
XP_015821651.1	SFTPD
XP_015800846.1	RANGAP1
XP_015819128.1	RANGAP1
XP_015809600.1	C15orf59
XP_015821407.1	INTS6
XP_015804974.1	INTS6
XP_015802666.1	DRC1
XP_015813272.1	ABLIM2
XP_015821778.1	LRP1B
XP_015824494.1	TRMT61A
XP_015813839.1	UBE2C
XP_015804479.1	PON2
XP_015799041.1	SUN2
XP_015817981.1	ACTA2
XP_015809913.1	CENPM
XP_015815267.1	RUVBL1
XP_015812920.1	COL6A1
XP_015796577.1	COL6A1
XP_015818874.1	C8orf33
XP_015800108.1	SLC3A1
XP_015812107.1	CCDC24
XP_015796571.1	FBXO33
XP_015804552.1	TMEM222
XP_015832279.1	TMEM222
XP_015810037.1	
XP_015799855.1	
XP_015831001.1	PPIL4
XP_015829872.1	ROR2
XP_015810070.1	MPP7
XP_015813004.1	MPP7
XP_015813561.1	ZNF735
XP_015827503.1	RNF126
XP_015827083.1	RNF126
XP_015812642.1	RNF126
XP_015826935.1	TOR1AIP1
XP_015809316.1	AMFR
XP_015816212.1	DLAT
XP_015823227.1	RBM15
XP_015802928.1	CAPN3
XP_015824830.1	CAPN3
XP_015814535.1	MRPS16
XP_015832002.1	NME2
XP_015822422.1	NME2
XP_015815259.1	CCDC174
XP_015809928.1	HN1
XP_015801233.1	HN1
XP_015799504.1	PROP1
XP_015822927.1	
XP_015831505.1	WSB1
XP_015808286.1	HIPK3
XP_015796962.1	HIPK3
XP_015820730.1	HIPK3
XP_015798292.1	GPSM1
XP_015805250.1	GPSM1
XP_015815932.1	GPSM1
XP_015831804.1	CBX1
XP_015817901.1	CBX1
XP_015809369.1	CBX1
XP_015796332.1	ZNF449
XP_015813469.1	ZNF449
XP_015807151.1	
XP_015814502.1	FAM83E
XP_015815503.1	SCYL2
XP_015831295.1	FAM78B
XP_015827008.1	FAM78B
XP_015831007.1	
XP_015796634.1	
XP_015809150.1	TALDO1
XP_015796802.1	L1CAM
XP_015822858.1	L1CAM
XP_015823334.1	L1CAM
XP_015797134.1	L1CAM
XP_015830523.1	L1CAM
XP_015817723.1	DDX10
XP_015826931.1	ATF6
XP_015809169.1	KCNQ1
XP_015819425.1	KCNQ1
XP_015809810.1	ACOX1
XP_015814335.1	SLC2A11
XP_015807102.1	TLCD2
XP_015825368.1	CLDN23
XP_015832273.1	CLDN23
XP_015826246.1	GIPC3
XP_015823402.1	HOXC13
XP_015813091.1	MRPL37
XP_015798091.1	
XP_015829579.1	
XP_015819861.1	PIAS1
XP_015809069.1	PIAS1
XP_015819707.1	CEP152
XP_015798816.1	SET
XP_015815690.1	SET
XP_015825445.1	
XP_015812054.1	CLUL1
XP_015809613.1	MAB21L2
XP_015819309.1	TLL1
XP_015815263.1	RFT1
XP_015829351.1	WDR45
XP_015831123.1	DCUN1D4
XP_015818684.1	CENPT
XP_015826067.1	PEX5L
XP_015797798.1	PEX5L
XP_015826642.1	BRINP3
XP_015826643.1	BRINP3
XP_015812788.1	BRINP3
XP_015813187.1	BRINP3
XP_015807655.1	HMG20A
XP_015823395.1	NR1D2
XP_015805281.1	NR1D2
XP_015811246.1	NR1D2
XP_015815131.1	NR1D2
XP_015827617.1	GLT1D1
XP_015811313.1	APEX1
XP_015815569.1	APEX1
XP_015820474.1	LAMB4
XP_015816900.1	JAKMIP2
XP_015808444.1	VAT1L
XP_015806320.1	WDR74
XP_015819308.1	MET
XP_015815471.1	MET
XP_015798195.1	PNKP
XP_015801462.1	GRIN2A
XP_015820222.1	GRIN2A
XP_015819145.1	GIMAP2
XP_015825065.1	GIMAP2
XP_015802710.1	ZBTB2
XP_015824694.1	SRSF4
XP_015830655.1	SRSF4
XP_015831841.1	RETSAT
XP_015804317.1	RETSAT
XP_015818274.1	RETSAT
XP_015809365.1	STAB1
XP_015797790.1	NCKAP1
XP_015827093.1	ATP5D
XP_015826984.1	MPND
XP_015801437.1	CFAP53
XP_015809831.1	MYH9
XP_015800690.1	MYH9
XP_015828299.1	HIST1H1A
XP_015824635.1	HIST1H1A
XP_015808370.1	NUDT19
XP_015820974.1	SDPR
XP_015807701.1	SDPR
XP_015818652.1	PCDH15
XP_015818651.1	PCDH15
XP_015800392.1	PCDH15
XP_015818644.1	PCDH15
XP_015817736.1	RAD54L
XP_015802062.1	PAIP2B
XP_015807907.1	PAIP2B
XP_015831473.1	RPS24
XP_015813213.1	FYB
XP_015796362.1	FYB
XP_015827262.1	FYB
XP_015824025.1	CEBPB
XP_015801984.1	RPL34
XP_015813206.1	NETO1
XP_015810794.1	NETO1
XP_015823680.1	9-Mar
XP_015815175.1	9-Mar
XP_015817452.1	FAM122B
XP_015810535.1	
XP_015811847.1	TPM4
XP_015798094.1	GRK7
XP_015807245.1	GRK7
XP_015816221.1	PCNXL3
XP_015796681.1	RASGRP3
XP_015798049.1	RASGRP3
XP_015809191.1	PRMT3
XP_015809192.1	PRMT3
XP_015821035.1	PAX6
XP_015809533.1	PAX6
XP_015818771.1	PAX6
XP_015821099.1	PAX6
XP_015812720.1	ONECUT2
XP_015827023.1	ONECUT2
XP_015798926.1	ONECUT2
XP_015805370.1	ONECUT2
XP_015827106.1	NCAN
XP_015801523.1	NCAN
XP_015812622.1	NCAN
XP_015824202.1	NCAN
XP_015805180.1	NCAN
XP_015832857.1	NCAN
XP_015832514.1	SOCS5
XP_015806667.1	SOCS5
XP_015824946.1	TC2N
XP_015799920.1	PHF3
XP_015822821.1	MYT1
XP_015831757.1	MYT1
XP_015824690.1	CDKL1
XP_015806238.1	CDKL1
XP_015826480.1	EFCAB7
XP_015830970.1	UBE2J1
XP_015796813.1	HCRT
XP_015817242.1	UBE2G1
XP_015827365.1	UBE2G1
XP_015817999.1	BBS1
XP_015808950.1	STK16
XP_015817902.1	PRR15L
XP_015827253.1	BSND
XP_015830480.1	C1orf216
XP_015809390.1	ARL14EP
XP_015804927.1	
XP_015824805.1	PAPLN
XP_015802866.1	PAPLN
XP_015802568.1	PAPLN
XP_015824804.1	PAPLN
XP_015804649.1	EOMES
XP_015829014.1	EOMES
XP_015817445.1	RNF103
XP_015828068.1	MORC1
XP_015799564.1	CCNJ
XP_015796627.1	CCNJ
XP_015797655.1	CCNJ
XP_015822894.1	PRKAR2A
XP_015829898.1	PRKAR2A
XP_015802063.1	NDRG2
XP_015797682.1	MTFMT
XP_015799460.1	HEATR5B
XP_015825936.1	BSDC1
XP_015827796.1	ADGRA2
XP_015829250.1	PARD6G
XP_015820212.1	
XP_015823545.1	GGT7
XP_015815509.1	GGT7
XP_015821633.1	INPP4A
XP_015802117.1	INPP4A
XP_015799055.1	CBX6
XP_015800703.1	
XP_015828562.1	DGUOK
XP_015814122.1	TULP1
XP_015807124.1	GOSR1
XP_015817045.1	GOSR1
XP_015798954.1	UQCRQ
XP_015831288.1	GH1
XP_015822401.1	GH1
XP_015801211.1	OCM
XP_015799065.1	NCAPG
XP_015815136.1	SMUG1
XP_015796754.1	GLIPR1
XP_015830529.1	RAD17
XP_015804597.1	SOX4
XP_015811130.1	SOX4
XP_015811355.1	SNX13
XP_015821784.1	OR51E1
XP_015800024.1	HCRTR2
XP_015814301.1	ACY1
XP_015817503.1	GRIA4
XP_015807181.1	GRIA4
XP_015826036.1	RNF220
XP_015812821.1	RNF220
XP_015796419.1	NEGR1
XP_015826095.1	NEGR1
XP_015828850.1	FGL1
XP_015813708.1	
XP_015820264.1	UBE2N
XP_015813821.1	UBE2N
XP_015799486.1	ISM1
XP_015824599.1	ISM1
XP_015803703.1	ISM1
XP_015821958.1	GPR155
XP_015800210.1	GPR155
XP_015827733.1	TMEM230
XP_015797679.1	TMEM230
XP_015814554.1	PPARG
XP_015830366.1	SMNDC1
XP_015806095.1	CILP
XP_015827098.1	CILP
XP_015815357.1	CELSR2
XP_015822597.1	CPTP
XP_015816420.1	CPTP
XP_015832049.1	CPTP
XP_015813409.1	ADGRG7
XP_015829791.1	
XP_015798706.1	AIF1L
XP_015808031.1	SPRY2
XP_015810164.1	EMILIN2
XP_015812060.1	EMILIN2
XP_015818606.1	CPN1
XP_015801500.1	KIAA0232
XP_015822395.1	NMI
XP_015819476.1	COX5A
XP_015809503.1	COX5A
XP_015805487.1	BOD1L1
XP_015802005.1	PLAA
XP_015819019.1	PGP
XP_015805012.1	TCAIM
XP_015807768.1	DMD
XP_015807702.1	DMD
XP_015832081.1	DMD
XP_015812089.1	NEUROD6
XP_015806810.1	RCBTB2
XP_015805018.1	KPNA5
XP_015825802.1	INAFM1
XP_015809453.1	ADAMTSL5
XP_015825896.1	GALE
XP_015810689.1	GPR12
XP_015829356.1	GPR12
XP_015801838.1	GPR12
XP_015798906.1	SH3BP2
XP_015816850.1	UBLCP1
XP_015811872.1	HYDIN
XP_015797808.1	HYDIN
XP_015800276.1	CHRM3
XP_015829969.1	CHRM3
XP_015814865.1	UBAP1
XP_015818304.1	GNA13
XP_015824396.1	GNA13
XP_015799199.1	ARHGEF38
XP_015797900.1	EHMT1
XP_015798962.1	EHMT1
XP_015830801.1	EHMT1
XP_015832342.1	VRK2
XP_015817263.1	SRRM3
XP_015818686.1	LAMTOR4
XP_015796215.1	ZNF71
XP_015830399.1	ZNF71
XP_015817460.1	ZNF71
XP_015825627.1	TK1
XP_015830702.1	C16orf46
XP_015815800.1	SNX2
XP_015821797.1	GJA5
XP_015800574.1	GJA5
XP_015818612.1	NHLRC2
XP_015797378.1	
XP_015817243.1	ANKFY1
XP_015810306.1	PLPPR4
XP_015813080.1	PLPPR4
XP_015798247.1	PLPPR4
XP_015797668.1	DONSON
XP_015827520.1	HNF1A
XP_015800270.1	ACTN2
XP_015801889.1	ACTN2
XP_015821505.1	AKAP8L
XP_015816744.1	PITX1
XP_015806815.1	COG6
XP_015816383.1	BCO2
XP_015827877.1	BCO2
XP_015807564.1	BCO2
XP_015830172.1	CLVS1
XP_015802375.1	ACY3
XP_015804989.1	HACE1
XP_015830882.1	
XP_015819549.1	
XP_015809355.1	KAT2A
XP_015825589.1	KIF26B
XP_015808259.1	KIF26B
XP_015803803.1	KIF26B
XP_015803845.1	KIF26B
XP_015796375.1	CCDC80
XP_015821173.1	CCDC80
XP_015824838.1	CPXM1
XP_015800577.1	SRRM5
XP_015806713.1	CEP295
XP_015827076.1	POLRMT
XP_015824327.1	ITPR3
XP_015806715.1	MED17
XP_015802318.1	TM4SF5
XP_015813265.1	TM4SF5
XP_015799232.1	CCDC86
XP_015800713.1	SPC24
XP_015831179.1	PPM1F
XP_015821622.1	RP11-111H13.1
XP_015818518.1	NODAL
XP_015828551.1	NODAL
XP_015798662.1	NODAL
XP_015817847.1	SAP130
XP_015800534.1	SUPT3H
XP_015821834.1	PALB2
XP_015818631.1	CEP55
XP_015824531.1	KCNH5
XP_015802755.1	KCNH5
XP_015829753.1	
XP_015829873.1	TLR2
XP_015801662.1	TLR2
XP_015806965.1	FKRP
XP_015817562.1	OR8U1
XP_015821415.1	ZNF214
XP_015798884.1	MBD2
XP_015827484.1	AUTS2
XP_015816087.1	AUTS2
XP_015817923.1	AUTS2
XP_015803838.1	FAM49A
XP_015811181.1	FAM49A
XP_015826634.1	GLRX2
XP_015810667.1	ZDHHC23
XP_015816280.1	ZDHHC23
XP_015832515.1	FAM98A
XP_015824332.1	SULF2
XP_015815521.1	SULF2
XP_015809145.1	TSPAN4
XP_015826718.1	DPH5
XP_015806894.1	FUT5
XP_015800103.1	LRPPRC
XP_015818269.1	KCNMB4
XP_015811401.1	PRR15
XP_015822603.1	FCHO2
XP_015813169.1	FCHO2
XP_015822115.1	RPRM
XP_015804373.1	RPRM
XP_015805739.1	COPS7A
XP_015829559.1	RGCC
XP_015825135.1	PLPPR3
XP_015797921.1	PLPPR3
XP_015812971.1	SLC25A30
XP_015821665.1	POU2F1
XP_015797206.1	SNCB
XP_015805512.1	IGLON5
XP_015829357.1	AHDC1
XP_015830809.1	CCDC65
XP_015811268.1	MRPS18B
XP_015831140.1	PPP2R3C
XP_015829732.1	MRPS11
XP_015825077.1	CRIP1
XP_015820846.1	VPS9D1
XP_015810001.1	ABCC10
XP_015824018.1	TRMT1
XP_015803762.1	HEY2
XP_015812162.1	AQP1
XP_015813190.1	AQP1
XP_015806117.1	SHC1
XP_015796298.1	ORC1
XP_015830605.1	ORC1
XP_015799562.1	CYP1B1
XP_015810318.1	ALG14
XP_015799966.1	GOLGA4
XP_015814542.1	KCNAB2
XP_015826712.1	
XP_015814746.1	UQCRC1
XP_015797485.1	PCDHA7
