Kf symbol,Kf Id,Kf Id2,Human symbol,Human Ensembl Id,Human Ensembl Protein Id
LOC107393446,XM_015971802.1,XP_015827288.1,TMED5,ENSG00000117500,ENSP00000359305
wdr55,XM_015940630.1,XP_015796116.1,WDR55,ENSG00000120314,ENSP00000351100
LOC107383764,XM_015956551.1,XP_015812037.1,FKBP1B,ENSG00000119782,ENSP00000370373
arhgef4,XM_015954821.1,XP_015810307.1,SPATA13,ENSG00000182957,ENSP00000371542
lin9,XM_015947321.1,XP_015802807.1,LIN9,ENSG00000183814,ENSP00000355773
mei4,XM_015948304.1,XP_015803790.1,MEI4,ENSG00000269964,ENSP00000473370
etf1,XM_015945288.1,XP_015800774.1,ETF1,ENSG00000120705,ENSP00000353741
hapln1,XM_015973946.1,XP_015829432.1,HAPLN1,ENSG00000145681,ENSP00000274341
lrrk2,XM_015963796.1,XP_015819282.1,LRRK2,ENSG00000188906,ENSP00000298910
LOC107393292,XM_015971537.1,XP_015827023.1,ONECUT2,ENSG00000119547,ENSP00000419185
LOC107373090,XM_015941270.1,XP_015796756.1,KCNIP3,ENSG00000115041,ENSP00000354261
LOC107395624,XM_015975039.1,XP_015830525.1,CYB561A3,ENSG00000162144,ENSP00000389745
LOC107375510,XM_015944070.1,XP_015799556.1,SLC7A2,ENSG00000003989,ENSP00000004531
fat3,XM_015976021.1,XP_015831507.1,FAT3,ENSG00000165323,ENSP00000387040
LOC107395053,XM_015974327.1,XP_015829813.1,CH507-9B2.1,ENSG00000277117,ENSP00000483732
hdac8,XM_015946371.1,XP_015801857.1,HDAC8,ENSG00000147099,ENSP00000362674
LOC107381280,XM_015952870.1,XP_015808356.1,CHRNB4,ENSG00000117971,ENSP00000261751
LOC107375264,XM_015943695.1,XP_015799181.1,CYP2U1,ENSG00000155016,ENSP00000333212
LOC107380565,XM_015951868.1,XP_015807354.1,CASR,ENSG00000036828,ENSP00000420194
mtmr3,XM_015971895.1,XP_015827381.1,MTMR3,ENSG00000100330,ENSP00000384651
LOC107378491,XM_015948733.1,XP_015804219.1,PACSIN3,ENSG00000165912,ENSP00000440945
LOC107380268,XM_015951429.1,XP_015806915.1,CAPN2,ENSG00000162909,ENSP00000295006
ppp1r16a,XM_015955340.1,XP_015810826.1,PPP1R16A,ENSG00000160972,ENSP00000391126
LOC107393723,XM_015972283.1,XP_015827769.1,PPP1R3C,ENSG00000119938,ENSP00000238994
LOC107389314,XM_015965390.1,XP_015820876.1,MMP16,ENSG00000156103,ENSP00000286614
LOC107384528,XM_015957824.1,XP_015813310.1,PLCD4,ENSG00000115556,ENSP00000396185
dpyd,XM_015957265.1,XP_015812751.1,DPYD,ENSG00000188641,ENSP00000359211
mlh1,XM_015943877.1,XP_015799363.1,MLH1,ENSG00000076242,ENSP00000231790
sec22a,XM_015965904.1,XP_015821390.1,SEC22A,ENSG00000121542,ENSP00000310521
LOC107373829,XM_015941981.1,XP_015797467.1,BMPR1B,ENSG00000138696,ENSP00000401907
srgap1,XM_015964962.1,XP_015820448.1,SRGAP1,ENSG00000196935,ENSP00000347198
LOC107374317,XM_015942469.1,XP_015797955.1,ARHGAP24,ENSG00000138639,ENSP00000378611
ampd3,XM_015974908.1,XP_015830394.1,AMPD3,ENSG00000133805,ENSP00000379802
LOC107386576,XM_015961053.1,XP_015816539.1,AMER1,ENSG00000184675,ENSP00000329117
txnl4b,XM_015952699.1,XP_015808185.1,TXNL4B,ENSG00000140830,ENSP00000408130
LOC107379087,XM_015949688.1,XP_015805174.1,GTF2IRD2,ENSG00000196275,ENSP00000406723
LOC107397246,XM_015977174.1,XP_015832660.1,GGCT,ENSG00000006625,ENSP00000275428
LOC107376304,XM_015945334.1,XP_015800820.1,TMEM184B,ENSG00000198792,ENSP00000354441
galnt8,XM_015960478.1,XP_015815964.1,GALNT8,ENSG00000130035,ENSP00000252318
slf1,XM_015972420.1,XP_015827906.1,SLF1,ENSG00000133302,ENSP00000265140
exd1,XM_015970223.1,XP_015825709.1,EXD1,ENSG00000178997,ENSP00000415056
ivd,XM_015969992.1,XP_015825478.1,IVD,ENSG00000128928,ENSP00000418397
LOC107375818,XM_015944573.1,XP_015800059.1,ATL2,ENSG00000119787,ENSP00000368237
cubn,XM_015954833.1,XP_015810319.1,CUBN,ENSG00000107611,ENSP00000367064
LOC107384451,XM_015957731.1,XP_015813217.1,XCR1,ENSG00000173578,ENSP00000310405
LOC107382039,XM_015954008.1,XP_015809494.1,SNAP25,ENSG00000132639,ENSP00000307341
lrrc26,XM_015976117.1,XP_015831603.1,LRRC52,ENSG00000162763,ENSP00000294818
LOC107394685,XM_015973738.1,XP_015829224.1,PABPC1,ENSG00000070756,ENSP00000313007
LOC107383960,XM_015956905.1,XP_015812391.1,HES6,ENSG00000144485,ENSP00000272937
leng9,XM_015950348.1,XP_015805834.1,LENG9,ENSG00000275183,ENSP00000479355
LOC107376596,XM_015945768.1,XP_015801254.1,PYCR2,ENSG00000143811,ENSP00000342502
LOC107381397,XM_015953032.1,XP_015808518.1,RLTPR,ENSG00000159753,ENSP00000334958
cd36,XM_015960854.1,XP_015816340.1,CD36,ENSG00000135218,ENSP00000411411
fam126b,XM_015966680.1,XP_015822166.1,FAM126B,ENSG00000155744,ENSP00000393667
tex2,XM_015945659.1,XP_015801145.1,TEX2,ENSG00000136478,ENSP00000258991
LOC107391008,XM_015968024.1,XP_015823510.1,KCND3,ENSG00000171385,ENSP00000319591
xrcc3,XM_015947932.1,XP_015803418.1,XRCC3,ENSG00000126215,ENSP00000452598
LOC107383440,XM_015956049.1,XP_015811535.1,EPC1,ENSG00000120616,ENSP00000263062
naga,XM_015948058.1,XP_015803544.1,NAGA,ENSG00000198951,ENSP00000384603
gng3,XM_015961221.1,XP_015816707.1,GNG3,ENSG00000162188,ENSP00000294117
llgl1,XM_015974433.1,XP_015829919.1,LLGL1,ENSG00000131899,ENSP00000321537
LOC107390733,XM_015967607.1,XP_015823093.1,EDN3,ENSG00000124205,ENSP00000360067
LOC107387253,XM_015962112.1,XP_015817598.1,GRID1,ENSG00000182771,ENSP00000330148
LOC107384467,XM_015957742.1,XP_015813228.1,ZP3,ENSG00000188372,ENSP00000378326
LOC107383976,XM_015956941.1,XP_015812427.1,KIF1A,ENSG00000130294,ENSP00000438388
LOC107381485,XM_015953182.1,XP_015808668.1,RDH13,ENSG00000160439,ENSP00000391121
LOC107386731,XM_015961305.1,XP_015816791.1,SLC9A6,ENSG00000198689,ENSP00000359729
lyrm5,XM_015956239.1,XP_015811725.1,LYRM5,ENSG00000205707,ENSP00000370761
btbd9,XM_015947781.1,XP_015803267.1,BTBD9,ENSG00000183826,ENSP00000418751
csgr15h20orf24,XM_015968049.1,XP_015823535.1,TGIF2-C20orf24,ENSG00000259399,ENSP00000454021
mllt1,XM_015970945.1,XP_015826431.1,MLLT1,ENSG00000130382,ENSP00000252674
LOC107374354,XM_015942503.1,XP_015797989.1,SLC39A1,ENSG00000143570,ENSP00000479421
stub1,XM_015942677.1,XP_015798163.1,STUB1,ENSG00000103266,ENSP00000219548
ptch1,XM_015972854.1,XP_015828340.1,PTCH1,ENSG00000185920,ENSP00000332353
LOC107388856,XM_015964617.1,XP_015820103.1,ZFHX3,ENSG00000140836,ENSP00000268489
LOC107385878,XM_015960035.1,XP_015815521.1,SULF2,ENSG00000196562,ENSP00000418290
fam3c,XM_015959886.1,XP_015815372.1,FAM3C,ENSG00000196937,ENSP00000353025
LOC107378550,XM_015948815.1,XP_015804301.1,HEG1,ENSG00000173706,ENSP00000311502
nadk2,XM_015943348.1,XP_015798834.1,NADK2,ENSG00000152620,ENSP00000371362
LOC107373592,XM_015941721.1,XP_015797207.1,CDHR2,ENSG00000074276,ENSP00000421078
nphs1,XM_015948930.1,XP_015804416.1,NPHS1,ENSG00000161270,ENSP00000368190
ankrd6,XM_015975454.1,XP_015830940.1,ANKRD6,ENSG00000135299,ENSP00000430985
lcat,XM_015965220.1,XP_015820706.1,LCAT,ENSG00000213398,ENSP00000264005
LOC107394716,XM_015973783.1,XP_015829269.1,TSHZ3,ENSG00000121297,ENSP00000240587
adgrl2,XM_015970614.1,XP_015826100.1,ADGRL2,ENSG00000117114,ENSP00000359760
plag1,XM_015954823.1,XP_015810309.1,PLAG1,ENSG00000181690,ENSP00000416537
LOC107374012,XM_015942158.1,XP_015797644.1,TRUB1,ENSG00000165832,ENSP00000298746
slc25a10,XM_015969619.1,XP_015825105.1,RP13-1032I1.10,ENSG00000262660,ENSP00000461324
zdhhc6,XM_015962595.1,XP_015818081.1,ZDHHC6,ENSG00000023041,ENSP00000358413
LOC107383077,XM_015955501.1,XP_015810987.1,GGH,ENSG00000137563,ENSP00000260118
arfgap1,XM_015975022.1,XP_015830508.1,ARFGAP1,ENSG00000101199,ENSP00000314615
LOC107385624,XM_015959620.1,XP_015815106.1,NEUROD4,ENSG00000123307,ENSP00000242994
LOC107395439,XM_015974831.1,XP_015830317.1,CLASP1,ENSG00000074054,ENSP00000263710
LOC107385712,XM_015959785.1,XP_015815271.1,PFKFB4,ENSG00000114268,ENSP00000232375
LOC107385493,XM_015959406.1,XP_015814892.1,FAM219A,ENSG00000164970,ENSP00000392452
mastl,XM_015955441.1,XP_015810927.1,MASTL,ENSG00000120539,ENSP00000365107
tmcc1,XM_015968404.1,XP_015823890.1,TMCC1,ENSG00000172765,ENSP00000376930
LOC107372545,XM_015940765.1,XP_015796251.1,ZBED1,ENSG00000214717,ENSP00000370621
LOC107378759,XM_015949140.1,XP_015804626.1,CCR1,ENSG00000163823,ENSP00000296140
LOC107377991,XM_015947977.1,XP_015803463.1,STX7,ENSG00000079950,ENSP00000356918
dbf4,XM_015950630.1,XP_015806116.1,DBF4,ENSG00000006634,ENSP00000265728
ubiad1,XM_015966995.1,XP_015822481.1,UBIAD1,ENSG00000120942,ENSP00000366006
snx1,XM_015953646.1,XP_015809132.1,SNX1,ENSG00000028528,ENSP00000261889
csgr03h17orf75,XM_015945769.1,XP_015801255.1,C17orf75,ENSG00000108666,ENSP00000225805
csgr02h18orf25,XM_015942985.1,XP_015798471.1,C18orf25,ENSG00000152242,ENSP00000481626
slc35d1,XM_015971763.1,XP_015827249.1,SLC35D1,ENSG00000116704,ENSP00000235345
dlx5,XM_015955824.1,XP_015811310.1,DLX5,ENSG00000105880,ENSP00000222598
sra1,XM_015961991.1,XP_015817477.1,SRA1,ENSG00000213523,ENSP00000337513
LOC107394281,XM_015973163.1,XP_015828649.1,GPAT3,ENSG00000138678,ENSP00000482571
LOC107389706,XM_015965974.1,XP_015821460.1,SHOX,ENSG00000185960,ENSP00000370990
LOC107376323,XM_015945361.1,XP_015800847.1,ZNF235,ENSG00000159917,ENSP00000291182
LOC107379301,XM_015950002.1,XP_015805488.1,CD22,ENSG00000012124,ENSP00000085219
papd5,XM_015954065.1,XP_015809551.1,PAPD5,ENSG00000121274,ENSP00000396995
LOC107381213,XM_015952784.1,XP_015808270.1,NRBP1,ENSG00000115216,ENSP00000369192
LOC107381863,XM_015953783.1,XP_015809269.1,ABO,ENSG00000175164,ENSP00000483018
LOC107374183,XM_015942329.1,XP_015797815.1,OR1C1,ENSG00000221888,ENSP00000386138
LOC107390601,XM_015967423.1,XP_015822909.1,ZBED1,ENSG00000214717,ENSP00000370621
LOC107374948,XM_015943243.1,XP_015798729.1,COL5A1,ENSG00000130635,ENSP00000481360
timm17b,XM_015967252.1,XP_015822738.1,TIMM17B,ENSG00000126768,ENSP00000379999
dnph1,XM_015975833.1,XP_015831319.1,DNPH1,ENSG00000112667,ENSP00000422440
LOC107378442,XM_015948649.1,XP_015804135.1,STAT5B,ENSG00000173757,ENSP00000293328
sbf1,XM_015955938.1,XP_015811424.1,SBF1,ENSG00000100241,ENSP00000370196
mvk,XM_015972623.1,XP_015828109.1,MVK,ENSG00000110921,ENSP00000443551
LOC107378166,XM_015948240.1,XP_015803726.1,TSPAN7,ENSG00000156298,ENSP00000286824
mus81,XM_015946193.1,XP_015801679.1,MUS81,ENSG00000172732,ENSP00000307853
qdpr,XM_015951110.1,XP_015806596.1,QDPR,ENSG00000151552,ENSP00000281243
nhs,XM_015975557.1,XP_015831043.1,NHS,ENSG00000188158,ENSP00000369400
ttl,XM_015944112.1,XP_015799598.1,TTL,ENSG00000114999,ENSP00000233336
csgr02h5orf42,XM_015941900.1,XP_015797386.1,C5orf42,ENSG00000197603,ENSP00000389014
LOC107396352,XM_015976064.1,XP_015831550.1,RHOG,ENSG00000177105,ENSP00000436932
LOC107380318,XM_015951494.1,XP_015806980.1,TMPRSS4,ENSG00000137648,ENSP00000477949
LOC107376412,XM_015945487.1,XP_015800973.1,ZNF318,ENSG00000171467,ENSP00000354964
LOC107397163,XM_015977080.1,XP_015832566.1,TMEM132C,ENSG00000181234,ENSP00000410852
LOC107392806,XM_015970818.1,XP_015826304.1,B3GNT3,ENSG00000179913,ENSP00000472638
LOC107372540,XM_015940760.1,XP_015796246.1,MAP3K19,ENSG00000176601,ENSP00000365005
ifi30,XM_015970848.1,XP_015826334.1,IFI30,ENSG00000216490,ENSP00000384886
mrpl40,XM_015973116.1,XP_015828602.1,MRPL40,ENSG00000185608,ENSP00000333401
osbpl7,XM_015962406.1,XP_015817892.1,OSBPL6,ENSG00000079156,ENSP00000376293
LOC107393718,XM_015972276.1,XP_015827762.1,CHRNB3,ENSG00000147432,ENSP00000289957
tatdn3,XM_015969478.1,XP_015824964.1,TATDN3,ENSG00000203705,ENSP00000431376
LOC107397009,XM_015976862.1,XP_015832348.1,RPTN,ENSG00000215853,ENSP00000317895
snupn,XM_015975412.1,XP_015830898.1,SNUPN,ENSG00000169371,ENSP00000458053
LOC107378722,XM_015949076.1,XP_015804562.1,TRIM25,ENSG00000121060,ENSP00000445961
nedd1,XM_015965099.1,XP_015820585.1,NEDD1,ENSG00000139350,ENSP00000451211
nipbl,XM_015942116.1,XP_015797602.1,NIPBL,ENSG00000164190,ENSP00000282516
LOC107387721,XM_015962850.1,XP_015818336.1,ST6GALNAC1,ENSG00000070526,ENSP00000156626
hexa,XM_015964092.1,XP_015819578.1,HEXB,ENSG00000049860,ENSP00000261416
hoxc6,XM_015967924.1,XP_015823410.1,HOXC6,ENSG00000197757,ENSP00000243108
xylt1,XM_015970805.1,XP_015826291.1,XYLT2,ENSG00000015532,ENSP00000017003
LOC107379233,XM_015949898.1,XP_015805384.1,GNRHR,ENSG00000109163,ENSP00000226413
LOC107397252,XM_015977183.1,XP_015832669.1,ATP6V1C1,ENSG00000155097,ENSP00000430282
mycbp,XM_015950050.1,XP_015805536.1,MYCBP,ENSG00000214114,ENSP00000380702
dis3l,XM_015953255.1,XP_015808741.1,DIS3L,ENSG00000166938,ENSP00000321711
LOC107376532,XM_015945668.1,XP_015801154.1,CBX4,ENSG00000141582,ENSP00000269397
LOC107386268,XM_015960566.1,XP_015816052.1,LRRC8A,ENSG00000136802,ENSP00000259324
LOC107380803,XM_015952159.1,XP_015807645.1,ZP3,ENSG00000188372,ENSP00000378326
bicd1,XM_015965463.1,XP_015820949.1,BICD1,ENSG00000151746,ENSP00000281474
glt8d1,XM_015959545.1,XP_015815031.1,GLT8D1,ENSG00000016864,ENSP00000266014
gemin2,XM_015974593.1,XP_015830079.1,GEMIN2,ENSG00000092208,ENSP00000308533
nr2e3,XM_015953739.1,XP_015809225.1,NR2E3,ENSG00000278570,ENSP00000482504
LOC107395697,XM_015975132.1,XP_015830618.1,PI4KA,ENSG00000241973,ENSP00000255882
LOC107377110,XM_015946534.1,XP_015802020.1,PRSS8,ENSG00000052344,ENSP00000319730
plcxd1,XM_015974329.1,XP_015829815.1,PLCXD1,ENSG00000182378,ENSP00000371079
nr2f1,XM_015972426.1,XP_015827912.1,NR2F1,ENSG00000175745,ENSP00000325819
dcp1a,XM_015967398.1,XP_015822884.1,DCP1A,ENSG00000272886,ENSP00000476386
LOC107376011,XM_015944886.1,XP_015800372.1,COL17A1,ENSG00000065618,ENSP00000340937
LOC107376946,XM_015946286.1,XP_015801772.1,MGEA5,ENSG00000198408,ENSP00000354850
rab35,XM_015971864.1,XP_015827350.1,RAB35,ENSG00000111737,ENSP00000229340
LOC107380105,XM_015951172.1,XP_015806658.1,ZBTB16,ENSG00000109906,ENSP00000376721
LOC107395677,XM_015975100.1,XP_015830586.1,B4GALT1,ENSG00000086062,ENSP00000369055
znf367,XM_015972894.1,XP_015828380.1,ZNF367,ENSG00000165244,ENSP00000364405
LOC107385886,XM_015960048.1,XP_015815534.1,OR2T4,ENSG00000196944,ENSP00000355431
LOC107393976,XM_015972649.1,XP_015828135.1,UBB,ENSG00000170315,ENSP00000478771
chmp6,XM_015962142.1,XP_015817628.1,CHMP6,ENSG00000176108,ENSP00000461098
aar2,XM_015968075.1,XP_015823561.1,AAR2,ENSG00000131043,ENSP00000380455
rnf8,XM_015947479.1,XP_015802965.1,RNF8,ENSG00000112130,ENSP00000362578
ptpn21,XM_015969819.1,XP_015825305.1,PTPN21,ENSG00000070778,ENSP00000330276
dcaf6,XM_015966205.1,XP_015821691.1,DCAF6,ENSG00000143164,ENSP00000356814
LOC107373231,XM_015941396.1,XP_015796882.1,SAMD3,ENSG00000164483,ENSP00000402092
LOC107373826,XM_015941971.1,XP_015797457.1,GRAP2,ENSG00000100351,ENSP00000385607
crnkl1,XM_015948263.1,XP_015803749.1,CRNKL1,ENSG00000101343,ENSP00000366557
LOC107393262,XM_015971506.1,XP_015826992.1,ABHD17C,ENSG00000136379,ENSP00000258884
LOC107375093,XM_015943450.1,XP_015798936.1,CCNG2,ENSG00000138764,ENSP00000346379
LOC107384419,XM_015957694.1,XP_015813180.1,SERBP1,ENSG00000142864,ENSP00000360034
pigu,XM_015958720.1,XP_015814206.1,PIGU,ENSG00000101464,ENSP00000217446
LOC107372989,XM_015941178.1,XP_015796664.1,EEF2KMT,ENSG00000118894,ENSP00000398502
csgr18h9orf3,XM_015972850.1,XP_015828336.1,C9orf3,ENSG00000148120,ENSP00000364464
LOC107391461,XM_015968778.1,XP_015824264.1,MECP2,ENSG00000169057,ENSP00000480973
LOC107384023,XM_015957015.1,XP_015812501.1,TINAG,ENSG00000137251,ENSP00000259782
LOC107373490,XM_015941618.1,XP_015797104.1,ZNF568,ENSG00000198453,ENSP00000481819
LOC107395534,XM_015974926.1,XP_015830412.1,OR10A6,ENSG00000175393,ENSP00000312470
LOC107387381,XM_015962326.1,XP_015817812.1,GLMN,ENSG00000174842,ENSP00000359385
sgip1,XM_015970970.1,XP_015826456.1,SGIP1,ENSG00000118473,ENSP00000237247
LOC107377617,XM_015947351.1,XP_015802837.1,FAM150B,ENSG00000189292,ENSP00000384604
LOC107379086,XM_015949687.1,XP_015805173.1,GABBR1,ENSG00000204681,ENSP00000366233
gchfr,XM_015970295.1,XP_015825781.1,GCHFR,ENSG00000137880,ENSP00000260447
ano1,XM_015976591.1,XP_015832077.1,ANO1,ENSG00000131620,ENSP00000347454
sipa1l2,XM_015943941.1,XP_015799427.1,SIPA1L2,ENSG00000116991,ENSP00000262861
igfbp4,XM_015971827.1,XP_015827313.1,IGFBP4,ENSG00000141753,ENSP00000269593
LOC107385416,XM_015959261.1,XP_015814747.1,TTLL8,ENSG00000138892,ENSP00000392252
slc5a3,XM_015966328.1,XP_015821814.1,SLC5A3,ENSG00000198743,ENSP00000370543
ccdc181,XM_015970568.1,XP_015826054.1,CCDC181,ENSG00000117477,ENSP00000356780
med12,XM_015949610.1,XP_015805096.1,MED12,ENSG00000184634,ENSP00000363193
LOC107377055,XM_015946444.1,XP_015801930.1,PARP14,ENSG00000173193,ENSP00000418194
