From	To
A0A0A0MT76	ENSP00000417505
A0A0A0MT89	ENSP00000419111
A0A0A0MTG1	ENSP00000448002
A0A0A6YY99	ENSP00000293826
A0A0A6YYA0	ENSP00000333650
A0A0A6YYC5	ENSP00000446015
A0A0A6YYC7	ENSP00000455911
A0A0A6YYD4	ENSP00000477580
A0A0A6YYD4	ENSP00000488778
A0A0A6YYF3	ENSP00000385085
A0A0A6YYG2	ENSP00000374894
A0A0A6YYG3	ENSP00000374899
A0A0A6YYG9	ENSP00000380427
A0A0A6YYH1	ENSP00000381377
A0A0A6YYH2	ENSP00000382101
A0A0A6YYI6	ENSP00000415070
A0A0A6YYJ0	ENSP00000424768
A0A0A6YYJ7	ENSP00000440087
A0A0A6YYJ9	ENSP00000441269
A0A0A6YYK1	ENSP00000443059
A0A0A6YYK5	ENSP00000451145
A0A0A6YYK6	ENSP00000451359
A0A0A6YYK7	ENSP00000452148
A0A0A6YYL0	ENSP00000454021
A0A0A6YYL1	ENSP00000455643
A0A0B4J1U3	ENSP00000374836
A0A0B4J1U3	ENSP00000479309
A0A0B4J1U4	ENSP00000374867
A0A0B4J1U6	ENSP00000374886
A0A0B4J1V8	ENSP00000377385
A0A0B4J1W7	ENSP00000370908
A0A0B4J1W7	ENSP00000389275
A0A0B4J1W7	ENSP00000487876
A0A0B4J1Y8	ENSP00000414456
A0A0B4J1Z2	ENSP00000417961
A0A0B4J203	ENSP00000423325
A0A0B4J234	ENSP00000438195
A0A0B4J235	ENSP00000438480
A0A0B4J237	ENSP00000439323
A0A0B4J238	ENSP00000439668
A0A0B4J240	ENSP00000440313
A0A0B4J241	ENSP00000441696
A0A0B4J244	ENSP00000444955
A0A0B4J245	ENSP00000445405
A0A0B4J248	ENSP00000446309
A0A0B4J249	ENSP00000446355
A0A0B4J262	ENSP00000450505
A0A0B4J263	ENSP00000450865
A0A0B4J264	ENSP00000450950
A0A0B4J265	ENSP00000450970
A0A0B4J266	ENSP00000451177
A0A0B4J268	ENSP00000451535
A0A0B4J269	ENSP00000451560
A0A0B4J271	ENSP00000451822
A0A0B4J272	ENSP00000451837
A0A0B4J273	ENSP00000452002
A0A0B4J274	ENSP00000452067
A0A0B4J275	ENSP00000452087
A0A0B4J276	ENSP00000452100
A0A0B4J277	ENSP00000452420
A0A0B4J279	ENSP00000452526
A0A0B4J280	ENSP00000452585
A0A0B4J293	ENSP00000457512
A0A0B4J2A0	ENSP00000461416
A0A0B4J2A2	ENSP00000463057
A0A0B4J2D5	ENSP00000480313
A0A0B4J2D5	ENSP00000485300
A0A0B4J2D9	ENSP00000480959
A0A0B4J2E0	ENSP00000480999
A0A0B4J2E2	ENSP00000481940
A0A0B4J2E2	ENSP00000481402
A0A0B4J2F0	ENSP00000484893
A0A0B4J2F0	ENSP00000482636
A0A0B4J2F2	ENSP00000482829
A0A0C4DFX4	ENSP00000369719
A0A0C4DH24	ENSP00000374791
A0A0C4DH24	ENSP00000488349
A0A0C4DH25	ENSP00000374805
A0A0C4DH27	ENSP00000374866
A0A0C4DH28	ENSP00000374868
A0A0C4DH55	ENSP00000402914
A0A0C4DH55	ENSP00000487088
A0A0C4DH59	ENSP00000413966
A0A0C4DH62	ENSP00000418050
A0A0C4DH62	ENSP00000488542
A0A0C4DH67	ENSP00000419211
A0A0C4DH67	ENSP00000488413
A0A0C4DH68	ENSP00000419300
A0A0C4DH68	ENSP00000488087
A0A0C4DH69	ENSP00000419598
A0A0C4DH69	ENSP00000488384
A0A0C4DH72	ENSP00000420361
A0A0C4DH72	ENSP00000488804
A0A0C4DH73	ENSP00000420576
A0A0C4DH73	ENSP00000488148
A0A0D9SF12	ENSP00000486197
A0A0D9SG24	ENSP00000487094
A0A0G2JK05	ENSP00000412832
A0A0G2JKD1	ENSP00000416075
A0A0G2JKS1	ENSP00000435573
A0A0G2JLE6	ENSP00000461030
A0A0G2JLG4	ENSP00000461559
A0A0G2JLL6	ENSP00000476774
A0A0G2JLM5	ENSP00000477528
A0A0G2JLQ3	ENSP00000477721
A0A0G2JMD5	ENSP00000492439
A0A0G2JMD5	ENSP00000491658
A0A0G2JMD5	ENSP00000490148
A0A0G2JMH3	ENSP00000479272
A0A0G2JMP0	ENSP00000479657
A0A0G2JMS6	ENSP00000479893
A0A0G2JMZ2	ENSP00000480274
A0A0G2JNG1	ENSP00000481293
A0A0G2JNH3	ENSP00000481382
A0A0G2JNQ3	ENSP00000481869
A0A0G2JP20	ENSP00000482656
A0A0G2JQZ4	ENSP00000486298
A0A0G2JQZ4	ENSP00000493991
A0A0G2JS52	ENSP00000487346
A0A0J9YVX5	ENSP00000487717
A0A0J9YWL9	ENSP00000488022
A0A0J9YXA8	ENSP00000488686
A0A0J9YXS1	ENSP00000488520
A0A0J9YXY3	ENSP00000488603
A0A0J9YXY3	ENSP00000488969
A0A0J9YY54	ENSP00000488696
A0A0J9YYC4	ENSP00000488785
A0A0K0K1A3	ENSP00000374887
A0A0K0K1A3	ENSP00000488035
A0A0K0K1A5	ENSP00000374891
A0A0K0K1A5	ENSP00000488123
A0A0K0K1B3	ENSP00000397118
A0A0K0K1B3	ENSP00000487814
A0A0K0K1C0	ENSP00000374890
A0A0K0K1C0	ENSP00000488521
A0A0K0K1C4	ENSP00000374922
A0A0K0K1C4	ENSP00000488274
A0A0K0K1D8	ENSP00000374876
A0A0K0K1D8	ENSP00000488756
A0A0K0K1E9	ENSP00000374900
A0A0K0K1E9	ENSP00000488424
A0A0K0K1G6	ENSP00000479267
A0A0K0K1G6	ENSP00000487891
A0A0K0K1G8	ENSP00000404652
A0A0K0K1G8	ENSP00000488043
A0A0K2S4Q6	ENSP00000492997
A0A0K2S4Q6	ENSP00000492977
A0A0M3HER8	ENSP00000488730
A0A0U1RQE8	ENSP00000488958
A0A0U1RQI7	ENSP00000489024
A0A0U1RQK1	ENSP00000489045
A0A0U1RQM0	ENSP00000489069
A0A0U1RQS6	ENSP00000489149
A0A0U1RQV5	ENSP00000489186
A0A0U1RR11	ENSP00000489273
A0A0U1RRA0	ENSP00000489065
A0A0U1RRA0	ENSP00000489416
A0A0U1RRA0	ENSP00000489429
A0A0U1RRA0	ENSP00000497214
A0A0U1RRE5	ENSP00000489583
A0A0U1RRE5	ENSP00000489486
A0A0U1RRE5	ENSP00000490217
A0A0U1RRH7	ENSP00000489536
A0A0U1RRI6	ENSP00000489547
A0A0U1RRN3	ENSP00000489079
A0A0U1RRN3	ENSP00000489616
A0A0X1KG70	ENSP00000329467
A0A0X1KG74	ENSP00000375656
A0A126GWI2	ENSP00000495092
A0A126GWI2	ENSP00000495443
A0A140G945	ENSP00000482816
A0A140G945	ENSP00000485302
A0A140T8X8	ENSP00000373027
A0A140T963	ENSP00000392995
A0A140TA40	ENSP00000447763
A0A140TA45	ENSP00000449456
A0A140TA62	ENSP00000459812
A0A140TA64	ENSP00000459798
A0A140TA67	ENSP00000460240
A0A182DWH4	ENSP00000416022
A0A183	ENSP00000411070
A0A191URI9	ENSP00000492100
A0A191URI9	ENSP00000492002
A0A1B0GTB2	ENSP00000489624
A0A1B0GTB2	ENSP00000498192
A0A1B0GTB2	ENSP00000490254
A0A1B0GTE1	ENSP00000489658
A0A1B0GTG8	ENSP00000489695
A0A1B0GTH6	ENSP00000489704
A0A1B0GTI8	ENSP00000489719
A0A1B0GTI8	ENSP00000490137
A0A1B0GTJ5	ENSP00000489726
A0A1B0GTK4	ENSP00000490802
A0A1B0GTQ1	ENSP00000490495
A0A1B0GTQ1	ENSP00000489793
A0A1B0GTQ1	ENSP00000491053
A0A1B0GTQ1	ENSP00000493522
A0A1B0GTQ1	ENSP00000495471
A0A1B0GTQ1	ENSP00000494428
A0A1B0GTQ4	ENSP00000490143
A0A1B0GTQ4	ENSP00000489797
A0A1B0GTR0	ENSP00000497858
A0A1B0GTU2	ENSP00000489837
A0A1B0GTW0	ENSP00000489859
A0A1B0GTW7	ENSP00000489869
A0A1B0GTY4	ENSP00000489890
A0A1B0GU03	ENSP00000489910
A0A1B0GU29	ENSP00000489939
A0A1B0GU75	ENSP00000489994
A0A1B0GUA5	ENSP00000490028
A0A1B0GUA7	ENSP00000490030
A0A1B0GUA7	ENSP00000489776
A0A1B0GUH1	ENSP00000490106
A0A1B0GUL7	ENSP00000490163
A0A1B0GUS4	ENSP00000490834
A0A1B0GUS4	ENSP00000490225
A0A1B0GUS4	ENSP00000490931
A0A1B0GUU1	ENSP00000490245
A0A1B0GUV8	ENSP00000490264
A0A1B0GUW6	ENSP00000490274
A0A1B0GUW6	ENSP00000491037
A0A1B0GUW7	ENSP00000490275
A0A1B0GUZ9	ENSP00000490314
A0A1B0GV72	ENSP00000490395
A0A1B0GV85	ENSP00000490412
A0A1B0GV90	ENSP00000490418
A0A1B0GVH4	ENSP00000490515
A0A1B0GVI7	ENSP00000490530
A0A1B0GVL6	ENSP00000490566
A0A1B0GVM2	ENSP00000490573
A0A1B0GVM6	ENSP00000490577
A0A1B0GVN3	ENSP00000490587
A0A1B0GVQ0	ENSP00000490187
A0A1B0GVQ0	ENSP00000490606
A0A1B0GVQ0	ENSP00000489755
A0A1B0GVT2	ENSP00000490644
A0A1B0GVV1	ENSP00000490666
A0A1B0GVX0	ENSP00000490685
A0A1B0GVX0	ENSP00000490446
A0A1B0GVY4	ENSP00000490699
A0A1B0GVY4	ENSP00000493952
A0A1B0GVZ9	ENSP00000490716
A0A1B0GW23	ENSP00000490744
A0A1B0GW54	ENSP00000490782
A0A1B0GW55	ENSP00000491201
A0A1B0GW55	ENSP00000496371
A0A1B0GW64	ENSP00000490796
A0A1B0GWB2	ENSP00000490857
A0A1B0GWG4	ENSP00000490917
A0A1B0GWH4	ENSP00000490928
A0A1B0GWH6	ENSP00000490930
A0A1B0GWJ7	ENSP00000490953
A0A1B0GX31	ENSP00000374897
A0A1B0GX49	ENSP00000374883
A0A1B0GX56	ENSP00000452111
A0A1B0GX68	ENSP00000388523
A0A1B0GX78	ENSP00000479506
A0A1B0GX95	ENSP00000374892
A0A1B0GXF2	ENSP00000488152
A0A1B0GXF2	ENSP00000489072
A0A1C7CYW4	ENSP00000367697
A0A1W2PN81	ENSP00000488147
A0A1W2PN81	ENSP00000494974
A0A1W2PNV4	ENSP00000491073
A0A1W2PP11	ENSP00000491227
A0A1W2PP80	ENSP00000491034
A0A1W2PP81	ENSP00000492874
A0A1W2PP81	ENSP00000491873
A0A1W2PP81	ENSP00000491385
A0A1W2PP81	ENSP00000491174
A0A1W2PP81	ENSP00000491351
A0A1W2PPD8	ENSP00000491279
A0A1W2PPE2	ENSP00000491494
A0A1W2PPF3	ENSP00000491301
A0A1W2PPG7	ENSP00000491535
A0A1W2PPH5	ENSP00000491332
A0A1W2PPK0	ENSP00000491197
A0A1W2PPL8	ENSP00000491472
A0A1W2PPM1	ENSP00000491599
A0A1W2PPQ1	ENSP00000491651
A0A1W2PPV4	ENSP00000491750
A0A1W2PPW3	ENSP00000491758
A0A1W2PQ09	ENSP00000491846
A0A1W2PQ27	ENSP00000491894
A0A1W2PQ45	ENSP00000491907
A0A1W2PQ45	ENSP00000495460
A0A1W2PQ64	ENSP00000491949
A0A1W2PQ67	ENSP00000491560
A0A1W2PQ73	ENSP00000491574
A0A1W2PQ90	ENSP00000492349
A0A1W2PQ90	ENSP00000491158
A0A1W2PQ90	ENSP00000491596
A0A1W2PQC6	ENSP00000491663
A0A1W2PQD8	ENSP00000491669
A0A1W2PQE6	ENSP00000492050
A0A1W2PQJ5	ENSP00000491768
A0A1W2PQL4	ENSP00000492202
A0A1W2PQM1	ENSP00000492028
A0A1W2PQS6	ENSP00000492441
A0A1W2PQS6	ENSP00000491891
A0A1W2PQU2	ENSP00000492284
A0A1W2PR19	ENSP00000492273
A0A1W2PR48	ENSP00000492311
A0A1W2PR64	ENSP00000492463
A0A1W2PR75	ENSP00000492512
A0A1W2PR95	ENSP00000492384
A0A1W2PRB8	ENSP00000492220
A0A1W2PRG6	ENSP00000492303
A0A1W2PRN6	ENSP00000492752
A0A1W2PRP0	ENSP00000492766
A0A1W2PRV1	ENSP00000492787
A0A1W2PS18	ENSP00000492557
A0A1W2PS29	ENSP00000492798
A0A286YEE6	ENSP00000496411
A0A286YEE6	ENSP00000429397
A0A286YES4	ENSP00000492927
A0A286YET3	ENSP00000492952
A0A286YEU6	ENSP00000492889
A0A286YEV6	ENSP00000492906
A0A286YEX6	ENSP00000493052
A0A286YEX9	ENSP00000493099
A0A286YEY9	ENSP00000493109
A0A286YF01	ENSP00000493152
A0A286YF18	ENSP00000493273
A0A286YF32	ENSP00000492935
A0A286YF46	ENSP00000493101
A0A286YF60	ENSP00000493170
A0A286YF77	ENSP00000493292
A0A286YFB4	ENSP00000493300
A0A286YFD6	ENSP00000493425
A0A286YFG1	ENSP00000493156
A0A286YFK9	ENSP00000493332
A0A286YFN4	ENSP00000493458
A0A2R8Y3M9	ENSP00000493607
A0A2R8Y415	ENSP00000493686
A0A2R8Y422	ENSP00000496515
A0A2R8Y422	ENSP00000493701
A0A2R8Y445	ENSP00000493629
A0A2R8Y471	ENSP00000493691
A0A2R8Y4E6	ENSP00000493971
A0A2R8Y4L2	ENSP00000493805
A0A2R8Y4L6	ENSP00000493820
A0A2R8Y4M4	ENSP00000494172
A0A2R8Y4Y8	ENSP00000494382
A0A2R8Y4Y8	ENSP00000496668
A0A2R8Y5M8	ENSP00000494667
A0A2R8Y5X9	ENSP00000494818
A0A2R8Y619	ENSP00000495192
A0A2R8Y6H1	ENSP00000495323
A0A2R8Y6Q2	ENSP00000495476
A0A2R8Y7G9	ENSP00000496014
A0A2R8Y7X9	ENSP00000496470
A0A2R8Y7Y5	ENSP00000496487
A0A2R8YCE0	ENSP00000493498
A0A2R8YCJ5	ENSP00000493663
A0A2R8YDH4	ENSP00000493780
A0A2R8YDQ0	ENSP00000494429
A0A2R8YDQ0	ENSP00000493953
A0A2R8YE69	ENSP00000493480
A0A2R8YE69	ENSP00000495334
A0A2R8YE73	ENSP00000496673
A0A2R8YE73	ENSP00000495340
A0A2R8YED5	ENSP00000494254
A0A2R8YEG4	ENSP00000493812
A0A2R8YEG4	ENSP00000494325
A0A2R8YEH3	ENSP00000494016
A0A2R8YEH3	ENSP00000494343
A0A2R8YEI5	ENSP00000495614
A0A2R8YEV3	ENSP00000495577
A0A2R8YEV3	ENSP00000494611
A0A2R8YEY8	ENSP00000494711
A0A2R8YFB7	ENSP00000496315
A0A2R8YFF1	ENSP00000495089
A0A2R8YFL7	ENSP00000495234
A0A2R8YFL7	ENSP00000494103
A0A2R8YFM6	ENSP00000495263
A0A2R8YFR7	ENSP00000495364
A0A2R8YFR7	ENSP00000496765
A0A2R8YFX0	ENSP00000495484
A0A2R8YG70	ENSP00000495703
A0A2R9YJI8	ENSP00000489211
A0A2R9YJI8	ENSP00000496318
A0A2U3TZJ3	ENSP00000369609
A0A2U3TZM8	ENSP00000378669
A0A3B3IRK5	ENSP00000496817
A0A3B3IRV1	ENSP00000497072
A0A3B3IRV3	ENSP00000496921
A0A3B3IRX1	ENSP00000497114
A0A3B3IS24	ENSP00000497083
A0A3B3IS89	ENSP00000497190
A0A3B3IS95	ENSP00000497202
A0A3B3ISG8	ENSP00000497305
A0A3B3ISS9	ENSP00000497443
A0A3B3ISY7	ENSP00000497507
A0A3B3IT09	ENSP00000497489
A0A3B3IT33	ENSP00000497050
A0A3B3IT33	ENSP00000497716
A0A3B3IT34	ENSP00000497579
A0A3B3IT44	ENSP00000497536
A0A3B3IT45	ENSP00000497734
A0A3B3IT50	ENSP00000497740
A0A3B3ITA1	ENSP00000497686
A0A3B3ITM5	ENSP00000497842
A0A3B3ITR4	ENSP00000498010
A0A3B3ITS5	ENSP00000498025
A0A3B3ITS8	ENSP00000497880
A0A3B3ITX8	ENSP00000498105
A0A3B3ITX9	ENSP00000497977
A0A3B3ITZ1	ENSP00000498126
A0A3B3IU27	ENSP00000498179
A0A3B3IU31	ENSP00000498000
A0A3B3IU46	ENSP00000498060
A0A3B3IU63	ENSP00000498087
A0A539	ENSP00000374915
A0A539	ENSP00000487667
A0A576	ENSP00000374910
A0A576	ENSP00000488814
A0A577	ENSP00000374880
A0A578	ENSP00000374904
A0A578	ENSP00000488308
A0A589	ENSP00000488576
A0A597	ENSP00000374895
A0A599	ENSP00000374898
A0A599	ENSP00000487850
A0A5A6	ENSP00000480080
A0A5A6	ENSP00000487749
A0A5B0	ENSP00000477671
A0A5B0	ENSP00000488641
A0A5B6	ENSP00000374923
A0A5B6	ENSP00000480928
A0A5B7	ENSP00000395459
A0A5B7	ENSP00000488861
A0AUZ9	ENSP00000281772
A0AUZ9	ENSP00000405724
A0AUZ9	ENSP00000401408
A0AUZ9	ENSP00000393432
A0AV02	ENSP00000377112
A0AV02	ENSP00000415713
A0AV02	ENSP00000418783
A0AV96	ENSP00000295971
A0AV96	ENSP00000371212
A0AV96	ENSP00000371214
A0AVF1	ENSP00000339135
A0AVF1	ENSP00000410655
A0AVF1	ENSP00000419279
A0AVI2	ENSP00000485238
A0AVI4	ENSP00000305243
A0AVI4	ENSP00000372394
A0AVI4	ENSP00000441812
A0AVK6	ENSP00000250024
A0AVK6	ENSP00000434199
A0AVK6	ENSP00000481103
A0AVT1	ENSP00000313454
A0AVT1	ENSP00000399234
A0FGR8	ENSP00000251527
A0FGR9	ENSP00000374218
A0FGR9	ENSP00000417388
A0JD32	ENSP00000452332
A0JD36	ENSP00000451578
A0JD37	ENSP00000451750
A0JLT2	ENSP00000337340
A0JNW5	ENSP00000279907
A0JNW5	ENSP00000349285
A0MZ66	ENSP00000260777
A0MZ66	ENSP00000347532
A0MZ66	ENSP00000376635
A0MZ66	ENSP00000376636
A0MZ66	ENSP00000480109
A0PJE2	ENSP00000218981
A0PJE2	ENSP00000280056
A0PJE2	ENSP00000411565
A0PJK1	ENSP00000324346
A0PJK1	ENSP00000379005
A0PJK1	ENSP00000379007
A0PJK1	ENSP00000379008
A0PJK1	ENSP00000401875
A0PJW6	ENSP00000303987
A0PJW8	ENSP00000309538
A0PJX0	ENSP00000288861
A0PJX4	ENSP00000326445
A0PJX8	ENSP00000364938
A0PJY2	ENSP00000392727
A0PJY2	ENSP00000411145
A0PJZ3	ENSP00000374268
A0PK00	ENSP00000345152
A0PK00	ENSP00000404991
A0PK05	ENSP00000374234
A0PK05	ENSP00000439911
A0PK11	ENSP00000424711
A1A4S6	ENSP00000336923
A1A4Y4	ENSP00000428220
A1A519	ENSP00000334285
A1A519	ENSP00000368873
A1A519	ENSP00000422684
A1A519	ENSP00000482552
A1A519	ENSP00000483075
A1A580	ENSP00000346536
A1A5B4	ENSP00000332788
A1A5C7	ENSP00000369653
A1A5C7	ENSP00000369657
A1A5C7	ENSP00000385028
A1A5C7	ENSP00000419463
A1A5D9	ENSP00000373998
A1A5D9	ENSP00000459043
A1A5D9	ENSP00000461724
A1E959	ENSP00000379401
A1IGU5	ENSP00000328083
A1KXE4	ENSP00000374565
A1KXE4	ENSP00000387051
A1KZ92	ENSP00000348645
A1L020	ENSP00000432845
A1L0T0	ENSP00000263383
A1L162	ENSP00000387298
A1L167	ENSP00000382713
A1L188	ENSP00000400184
A1L190	ENSP00000385122
A1L190	ENSP00000385480
A1L1A6	ENSP00000385592
A1L390	ENSP00000247226
A1L390	ENSP00000378183
A1L390	ENSP00000450945
A1L3X0	ENSP00000402634
A1L3X0	ENSP00000424123
A1L429	ENSP00000371117
A1L429	ENSP00000384214
A1L429	ENSP00000397103
A1L453	ENSP00000355719
A1L4H1	ENSP00000374274
A1L4H1	ENSP00000467252
A1L4K1	ENSP00000335651
A1L4K1	ENSP00000444078
A1X283	ENSP00000309714
A1XBS5	ENSP00000401774
A1XBS5	ENSP00000391671
A1XBS5	ENSP00000428065
A1XBS5	ENSP00000429367
A1YPR0	ENSP00000439781
A1YPR0	ENSP00000468254
A1YPR0	ENSP00000468782
A1YPR0	ENSP00000467877
A1Z1Q3	ENSP00000217246
A1Z1Q3	ENSP00000367297
A1Z1Q3	ENSP00000385290
A1Z1Q3	ENSP00000385516
A2A288	ENSP00000386616
A2A2V5	ENSP00000325776
A2A2Y4	ENSP00000303508
A2A2Y4	ENSP00000328615
A2A2Y4	ENSP00000365617
A2A2Y4	ENSP00000365621
A2A2Y4	ENSP00000484839
A2A3K4	ENSP00000288976
A2A3K4	ENSP00000364509
A2A3K4	ENSP00000497158
A2AJT9	ENSP00000369004
A2AJT9	ENSP00000369009
A2CJ06	ENSP00000396593
A2IDD5	ENSP00000293889
A2PYH4	ENSP00000359454
A2RRD8	ENSP00000473091
A2RRH5	ENSP00000397869
A2RRH5	ENSP00000416289
A2RRL7	ENSP00000380727
A2RRL7	ENSP00000401570
A2RRL7	ENSP00000390407
A2RRL7	ENSP00000393891
A2RRP1	ENSP00000281513
A2RTX5	ENSP00000338093
A2RTY3	ENSP00000474899
A2RTY3	ENSP00000473760
A2RTY3	ENSP00000473941
A2RTY3	ENSP00000474893
A2RTY3	ENSP00000479676
A2RTY3	ENSP00000488053
A2RTY3	ENSP00000488224
A2RTY3	ENSP00000487778
A2RU14	ENSP00000279968
A2RU14	ENSP00000436177
A2RU14	ENSP00000436162
A2RU14	ENSP00000435526
A2RU14	ENSP00000433374
A2RU14	ENSP00000436596
A2RU14	ENSP00000434597
A2RU30	ENSP00000312679
A2RU30	ENSP00000400892
A2RU30	ENSP00000435622
A2RU30	ENSP00000433098
A2RU30	ENSP00000432030
A2RU48	ENSP00000381895
A2RU49	ENSP00000373640
A2RU49	ENSP00000386197
A2RU49	ENSP00000454850
A2RU49	ENSP00000456614
A2RU49	ENSP00000455459
A2RU54	ENSP00000341108
A2RU67	ENSP00000197268
A2RU67	ENSP00000394063
A2RUB1	ENSP00000386452
A2RUB1	ENSP00000386586
A2RUB6	ENSP00000326050
A2RUB6	ENSP00000378167
A2RUC4	ENSP00000346627
A2RUH7	ENSP00000349678
A2RUS2	ENSP00000262585
A2RUS2	ENSP00000410594
A2RUT3	ENSP00000329557
A2RUU4	ENSP00000362968
A2VCK2	ENSP00000386870
A2VDF0	ENSP00000278025
A2VDF0	ENSP00000357540
A2VDJ0	ENSP00000386574
A2VDJ0	ENSP00000386787
A2VEC9	ENSP00000485256
A3KFT3	ENSP00000355432
A3KMH1	ENSP00000281496
A3KMH1	ENSP00000368612
A3KN74	ENSP00000486277
A3KN83	ENSP00000267176
A3KN83	ENSP00000387361
A3KN83	ENSP00000473665
A3QJZ7	ENSP00000393136
A3QJZ7	ENSP00000488085
A3QJZ7	ENSP00000490306
A4D0S4	ENSP00000205386
A4D0S4	ENSP00000373433
A4D0T7	ENSP00000490095
A4D0T7	ENSP00000490064
A4D0V7	ENSP00000309772
A4D0V7	ENSP00000406122
A4D126	ENSP00000382249
A4D126	ENSP00000385478
A4D1B5	ENSP00000257626
A4D1E1	ENSP00000329638
A4D1E9	ENSP00000222511
A4D1E9	ENSP00000257659
A4D1E9	ENSP00000369398
A4D1F6	ENSP00000339642
A4D1F6	ENSP00000411568
A4D1F6	ENSP00000405987
A4D1P6	ENSP00000346466
A4D1S0	ENSP00000339356
A4D1S0	ENSP00000376759
A4D1S5	ENSP00000348778
A4D1S5	ENSP00000440167
A4D1T9	ENSP00000297767
A4D1T9	ENSP00000414461
A4D1Z8	ENSP00000481185
A4D256	ENSP00000497792
A4D263	ENSP00000297001
A4D2B0	ENSP00000381150
A4D2G3	ENSP00000386167
A4D2G3	ENSP00000493159
A4D2G3	ENSP00000493343
A4D2H0	ENSP00000474204
A4D2H0	ENSP00000493562
A4D2P6	ENSP00000397351
A4FU01	ENSP00000358136
A4FU01	ENSP00000391668
A4FU28	ENSP00000395587
A4FU49	ENSP00000403476
A4FU49	ENSP00000421294
A4FU69	ENSP00000378312
A4FU69	ENSP00000393095
A4FU69	ENSP00000440619
A4GXA9	ENSP00000457353
A4IF30	ENSP00000342518
A4IF30	ENSP00000451990
A4UGR9	ENSP00000386454
A4UGR9	ENSP00000386840
A4UGR9	ENSP00000387255
A4UGR9	ENSP00000386981
A4UGR9	ENSP00000386619
A4UGR9	ENSP00000486198
A5A3E0	ENSP00000386786
A5D6W6	ENSP00000267426
A5D6W6	ENSP00000453741
A5D6W6	ENSP00000493481
A5D6W6	ENSP00000493961
A5D8T8	ENSP00000288040
