Gene,XM id,XP id,mean Ka/Ks,mean Ka,mean ks,medaka Ka/Ks,medaka Ka,medaka ks,Stickleback Ka/Ks,Stickleback Ka,Stickleback ks,tetraodon Ka/Ks,tetraodon Ka,tetraodon ks,fugu Ka/Ks,fugu Ka,fugu ks,zebrafish Ka/Ks,zebrafish Ka,zebrafish ks
abl1,XM_015942218.1,XP_015797704.1,0.0631,0.09144,1.53618,0.0995,0.0878,0.8828,0.0426,0.0742,1.7428,0.0558,0.0811,1.4528,0.0558,0.0791,1.416,0.0618,0.135,2.1865
ablim2,XM_015957786.1,XP_015813272.1,0.03784,0.04666,1.2167,0.0331,0.0393,1.187,0.0401,0.0374,0.9321,0.0455,0.0658,1.4452,0.0295,0.0319,1.0837,0.041,0.0589,1.4355
abt1,XM_015968770.1,XP_015824256.1,0.08434,0.12104,1.64768,0.0879,0.0882,1.0041,0.1167,0.0866,0.742,0.033,0.0864,2.6227,0.1006,0.1227,1.2199,0.0835,0.2213,2.6497
abtb1,XM_015968119.1,XP_015823605.1,0.06758,0.10314,1.4722,0.0538,0.0389,0.7229,0.0549,0.0722,1.3151,0.0572,0.1102,1.9266,0.0797,0.1217,1.526,0.0923,0.1727,1.8704
acaca,XM_015961105.1,XP_015816591.1,0.03216,0.03482,1.0931,0.0335,0.0289,0.8632,0.0356,0.0341,0.9585,0.0306,0.0343,1.1215,0.0311,0.0331,1.0646,0.03,0.0437,1.4577
acacb,XM_015972612.1,XP_015828098.1,0.05502,0.06314,1.1684,0.0579,0.0523,0.903,0.0663,0.0576,0.8695,0.0435,0.06,1.3774,0.0505,0.0589,1.1653,0.0569,0.0869,1.5268
acad8,XM_015951148.1,XP_015806634.1,0.04038,0.04822,1.22472,0.045,0.0382,0.8491,0.0475,0.0437,0.9201,0.033,0.0475,1.4385,0.0344,0.0493,1.432,0.042,0.0624,1.4839
acad9,XM_015976828.1,XP_015832314.1,0.06604,0.09624,1.43528,0.0485,0.0635,1.3095,0.0549,0.0723,1.3175,0.0816,0.1081,1.3248,0.0669,0.0892,1.333,0.0783,0.1481,1.8916
acadl,XM_015946702.1,XP_015802188.1,0.04758,0.09444,2.07934,0.0226,0.0529,2.3396,0.0356,0.0916,2.5769,0.0537,0.1026,1.9115,0.0611,0.1053,1.7237,0.0649,0.1198,1.845
acadm,XM_015956167.1,XP_015811653.1,0.05338,0.0621,1.34378,0.0556,0.036,0.6482,0.0832,0.0622,0.7474,0.0463,0.0662,1.4312,0.0502,0.0626,1.2467,0.0316,0.0835,2.6454
acadsb,XM_015962990.1,XP_015818476.1,0.0328,0.0603,1.99472,0.041,0.0472,1.15,0.0403,0.0433,1.0749,0.0291,0.053,1.8219,0.0272,0.0478,1.7597,0.0264,0.1102,4.1671
acadvl,XM_015940673.1,XP_015796159.1,0.03326,0.06992,2.25382,0.0174,0.047,2.7014,0.0267,0.0754,2.8205,0.0479,0.0731,1.5262,0.0403,0.0675,1.6755,0.034,0.0866,2.5455
acat2,XM_015947376.1,XP_015802862.1,0.09728,0.10168,1.0952,0.101,0.0785,0.7777,0.0717,0.0713,0.9946,0.1155,0.1064,0.9208,0.1243,0.1149,0.9246,0.0739,0.1373,1.8583
acbd5,XM_015955442.1,XP_015810928.1,0.10716,0.1327,1.22602,0.0896,0.1104,1.2314,0.0761,0.0871,1.1443,0.1295,0.1451,1.1204,0.1057,0.1246,1.1793,0.1349,0.1963,1.4547
accs,XM_015964811.1,XP_015820297.1,0.14028,0.1593,1.1148,0.1245,0.1134,0.9113,0.1189,0.125,1.0509,0.1528,0.1567,1.0253,0.1368,0.1476,1.0794,0.1684,0.2538,1.5071
ace,XM_015963494.1,XP_015818980.1,0.09924,0.13732,1.36738,0.0834,0.1041,1.2477,0.0855,0.1096,1.281,0.1037,0.1438,1.3875,0.104,0.1354,1.3013,0.1196,0.1937,1.6194
acer1,XM_015970947.1,XP_015826433.1,0.09954,0.10966,1.2333,0.0789,0.0838,1.0623,0.147,0.1048,0.7126,0.114,0.1114,0.9767,0.0929,0.0883,0.9507,0.0649,0.16,2.4642
ache,XM_015958076.1,XP_015813562.1,0.05632,0.0777,1.55996,0.0866,0.0743,0.8577,0.0173,0.037,2.139,0.0401,0.0747,1.8631,0.0678,0.09,1.3276,0.0698,0.1125,1.6124
acmsd,XM_015966735.1,XP_015822221.1,0.07664,0.06626,0.92962,0.0874,0.0588,0.6732,0.0707,0.0464,0.6559,0.089,0.0686,0.7709,0.0844,0.0667,0.7903,0.0517,0.0908,1.7578
aco1,XM_015958180.1,XP_015813666.1,0.03938,0.06796,2.14578,0.0307,0.0506,1.6496,0.065,0.0543,0.8367,0.0209,0.0986,4.712,0.0289,0.058,2.0088,0.0514,0.0783,1.5218
acod1,XM_015966034.1,XP_015821520.1,0.13104,0.14624,1.11048,0.1328,0.1143,0.8603,0.0862,0.112,1.3001,0.1379,0.1252,0.9081,0.1145,0.127,1.1088,0.1838,0.2527,1.3751
acot11,XM_015971484.1,XP_015826970.1,0.04662,0.06814,1.48904,0.0563,0.0567,1.0075,0.0468,0.0503,1.0753,0.0418,0.0713,1.7041,0.0383,0.0663,1.7314,0.0499,0.0961,1.9269
acot13,XM_015973803.1,XP_015829289.1,0.03668,0.06286,1.77588,0.033,0.064,1.9418,0.041,0.0532,1.2985,0.0266,0.0469,1.7628,0.0274,0.063,2.302,0.0554,0.0872,1.5743
acot7,XM_015967537.1,XP_015823023.1,0.08132,0.12034,1.5596,0.0679,0.0882,1.299,0.1212,0.1188,0.9802,0.0682,0.1272,1.8651,0.0585,0.1164,1.99,0.0908,0.1511,1.6637
acp1,XM_015947348.1,XP_015802834.1,0.16032,0.17006,1.09198,0.228,0.198,0.8682,0.1905,0.196,1.0286,0.0895,0.1161,1.2966,0.1235,0.1203,0.9741,0.1701,0.2199,1.2924
acp2,XM_015952491.1,XP_015807977.1,0.12076,0.18708,1.7459,0.1154,0.1461,1.2666,0.1466,0.1442,0.9837,0.1414,0.1972,1.3944,0.1255,0.166,1.3228,0.0749,0.2819,3.762
acp5,XM_015971250.1,XP_015826736.1,0.08288,0.13326,1.61532,0.0541,0.0886,1.6372,0.0958,0.1004,1.0489,0.0672,0.0956,1.4229,0.0716,0.1551,2.165,0.1257,0.2266,1.8026
acp6,XM_015966317.1,XP_015821803.1,0.12388,0.1599,1.54784,0.1435,0.1357,0.9456,0.1554,0.1415,0.9105,0.0796,0.142,1.7843,0.1721,0.1637,0.9514,0.0688,0.2166,3.1474
acp7,XM_015970245.1,XP_015825731.1,0.0625,0.09522,1.64364,0.081,0.0806,0.9948,0.0506,0.0672,1.3282,0.0277,0.0733,2.6466,0.0545,0.0811,1.4863,0.0987,0.1739,1.7623
acsf3,XM_015952806.1,XP_015808292.1,0.11006,0.11154,1.01174,0.1118,0.0801,0.7168,0.1085,0.0814,0.7505,0.1118,0.1058,0.9459,0.102,0.1216,1.1927,0.1162,0.1688,1.4528
acsl3,XM_015952145.1,XP_015807631.1,0.0825,0.11834,1.51038,0.1039,0.0942,0.9063,0.0645,0.0941,1.4589,0.0516,0.11,2.1322,0.0702,0.1083,1.5417,0.1223,0.1851,1.5128
acsl4,XM_015958169.1,XP_015813655.1,0.08242,0.10068,1.31048,0.0992,0.0872,0.8795,0.1128,0.0899,0.7971,0.0618,0.1002,1.6208,0.0643,0.0968,1.5068,0.074,0.1293,1.7482
acss3,XM_015961068.1,XP_015816554.1,0.05804,0.0694,1.22784,0.065,0.0536,0.825,0.0587,0.0527,0.8973,0.0424,0.0723,1.7037,0.0613,0.0809,1.32,0.0628,0.0875,1.3932
actl6a,XM_015970585.1,XP_015826071.1,0.01036,0.01184,1.23704,0.0098,0.0084,0.8591,0.0141,0.0104,0.7361,0.0117,0.0128,1.0948,0.0088,0.0096,1.081,0.0074,0.018,2.4142
actr10,XM_015948116.1,XP_015803602.1,0.06046,0.06564,1.11104,0.0758,0.0753,0.993,0.0546,0.0369,0.6755,0.0582,0.0392,0.674,0.0602,0.0453,0.7532,0.0535,0.1315,2.4595
actr5,XM_015967391.1,XP_015822877.1,0.05902,0.09214,1.5538,0.0473,0.0652,1.378,0.0536,0.058,1.0815,0.0478,0.0864,1.8098,0.04,0.0731,1.8276,0.1064,0.178,1.6721
actr6,XM_015965097.1,XP_015820583.1,0.03088,0.06526,2.1741,0.028,0.0471,1.6835,0.0374,0.0678,1.8142,0.0282,0.0459,1.6284,0.0339,0.054,1.5942,0.0269,0.1115,4.1502
actr8,XM_015941547.1,XP_015797033.1,0.07008,0.0757,1.04988,0.0661,0.0559,0.8456,0.0727,0.0577,0.7945,0.0595,0.0624,1.0496,0.0623,0.0621,0.9967,0.0898,0.1404,1.563
acvr1c,XM_015966617.1,XP_015822103.1,0.0387,0.05558,1.45006,0.0355,0.0306,0.8625,0.0345,0.0381,1.1019,0.0285,0.0633,2.219,0.0463,0.0663,1.4312,0.0487,0.0796,1.6357
acy1,XM_015958815.1,XP_015814301.1,0.08808,0.1004,1.218,0.0847,0.073,0.8619,0.0896,0.0812,0.906,0.0984,0.0977,0.9929,0.1056,0.1054,0.9987,0.0621,0.1447,2.3305
ada,XM_015967011.1,XP_015822497.1,0.1168,0.1312,1.16186,0.1232,0.1168,0.9477,0.1542,0.1362,0.8833,0.0839,0.099,1.1802,0.119,0.1079,0.9069,0.1037,0.1961,1.8912
adad1,XM_015975687.1,XP_015831173.1,0.1567,0.21434,1.42476,0.1951,0.1833,0.9393,0.1009,0.1619,1.6036,0.1978,0.2413,1.2195,0.1241,0.2137,1.7216,0.1656,0.2715,1.6398
adal,XM_015963983.1,XP_015819469.1,0.08518,0.11896,1.53862,0.0959,0.101,1.0536,0.1255,0.1078,0.8591,0.0588,0.1084,1.8421,0.0798,0.104,1.3028,0.0659,0.1736,2.6355
adam12,XM_015944850.1,XP_015800336.1,0.04548,0.0515,1.1341,0.0511,0.0428,0.8378,0.0396,0.0385,0.9724,0.0316,0.0448,1.4182,0.0446,0.0458,1.0276,0.0605,0.0856,1.4145
adam15,XM_015949616.1,XP_015805102.1,0.06562,0.08816,1.35562,0.0575,0.0592,1.0284,0.0679,0.0741,1.0901,0.0518,0.0973,1.8772,0.0672,0.0929,1.3822,0.0837,0.1173,1.4002
adam17,XM_015969998.1,XP_015825484.1,0.07094,0.11422,1.66442,0.0857,0.1058,1.2356,0.0495,0.0933,1.8837,0.0863,0.1115,1.2925,0.053,0.1038,1.9562,0.0802,0.1567,1.9541
adam19,XM_015975908.1,XP_015831394.1,0.11206,0.13904,1.23484,0.1004,0.1296,1.2904,0.1213,0.1105,0.9111,0.0937,0.1234,1.3171,0.1037,0.1195,1.1532,0.1412,0.2122,1.5024
adam22,XM_015950615.1,XP_015806101.1,0.06746,0.0801,1.23052,0.0802,0.0773,0.9634,0.0609,0.0623,1.0236,0.0674,0.0838,1.2432,0.0765,0.0766,1.0016,0.0523,0.1005,1.9208
adam23,XM_015966438.1,XP_015821924.1,0.10538,0.09588,0.92264,0.1122,0.0674,0.6007,0.1139,0.0741,0.6504,0.1024,0.0935,0.9135,0.096,0.0955,0.9954,0.1024,0.1489,1.4532
adamts13,XM_015972136.1,XP_015827622.1,0.15648,0.15734,1.00716,0.1638,0.1151,0.7027,0.1706,0.12,0.7031,0.1483,0.139,0.9371,0.1281,0.146,1.1394,0.1716,0.2666,1.5535
adamts14,XM_015963040.1,XP_015818526.1,0.02916,0.05048,1.9623,0.0368,0.0356,0.9679,0.0264,0.0348,1.3165,0.026,0.0424,1.6298,0.0358,0.0404,1.1289,0.0208,0.0992,4.7684
adamts18,XM_015953947.1,XP_015809433.1,0.05112,0.05792,1.26894,0.0625,0.0412,0.6583,0.0525,0.0471,0.897,0.0547,0.0527,0.9639,0.0515,0.0511,0.9915,0.0344,0.0975,2.834
adamts5,XM_015952592.1,XP_015808078.1,0.04,0.0599,1.73912,0.0538,0.0528,0.9814,0.0389,0.0482,1.237,0.0416,0.0497,1.1955,0.0413,0.0486,1.177,0.0244,0.1002,4.1047
adamts6,XM_015943095.1,XP_015798581.1,0.05006,0.05292,1.09602,0.0667,0.0457,0.6853,0.0389,0.0447,1.1496,0.0489,0.0546,1.1166,0.0517,0.0552,1.0686,0.0441,0.0644,1.46
adamts8,XM_015952090.1,XP_015807576.1,0.05182,0.12084,3.28278,0.0621,0.0978,1.5755,0.0216,0.0965,4.4664,0.0302,0.1344,4.4473,0.0212,0.0945,4.465,0.124,0.181,1.4597
adamtsl2,XM_015960435.1,XP_015815921.1,0.0336,0.05552,1.60406,0.0319,0.0438,1.3731,0.0351,0.0535,1.5266,0.0294,0.0406,1.3812,0.024,0.039,1.6247,0.0476,0.1007,2.1147
adamtsl5,XM_015953967.1,XP_015809453.1,0.07506,0.08806,1.20538,0.104,0.0957,0.921,0.0602,0.0739,1.2266,0.0667,0.0733,1.0985,0.0765,0.0765,1.0007,0.0679,0.1209,1.7801
adar,XM_015942635.1,XP_015798121.1,0.0463,0.106,2.41904,0.0563,0.0912,1.6207,0.0524,0.0822,1.5688,0.0344,0.1005,2.9216,0.0304,0.0999,3.293,0.058,0.1562,2.6911
adat1,XM_015965339.1,XP_015820825.1,0.12476,0.1428,1.15072,0.1553,0.1337,0.8611,0.1326,0.1602,1.2078,0.097,0.1061,1.0944,0.1064,0.1193,1.1213,0.1325,0.1947,1.469
adat2,XM_015947800.1,XP_015803286.1,0.0899,0.11506,1.39922,0.121,0.103,0.8515,0.0717,0.1005,1.4023,0.0943,0.1281,1.359,0.1105,0.1282,1.1601,0.052,0.1155,2.2232
adat3,XM_015977077.1,XP_015832563.1,0.0932,0.16582,1.84108,0.1187,0.138,1.1633,0.0599,0.1207,2.0158,0.1036,0.163,1.5736,0.0766,0.1746,2.2803,0.1072,0.2328,2.1724
adck1,XM_015969088.1,XP_015824574.1,0.10406,0.12184,1.19904,0.0998,0.0792,0.7927,0.1285,0.1084,0.8436,0.1064,0.1111,1.0441,0.0844,0.1253,1.4845,0.1012,0.1852,1.8303
adck2,XM_015963962.1,XP_015819448.1,0.08116,0.09474,1.16348,0.0727,0.0621,0.8547,0.0739,0.091,1.2319,0.084,0.0912,1.0856,0.092,0.0963,1.0459,0.0832,0.1331,1.5993
adck3,XM_015947995.1,XP_015803481.1,0.04134,0.0689,1.66312,0.0343,0.0552,1.6067,0.0386,0.0696,1.8003,0.0393,0.061,1.5529,0.0471,0.0627,1.3301,0.0474,0.096,2.0256
adck5,XM_015940665.1,XP_015796151.1,0.06258,0.10732,1.87996,0.0903,0.084,0.9305,0.0389,0.1033,2.6536,0.0635,0.1015,1.598,0.0653,0.1024,1.5675,0.0549,0.1454,2.6502
adcyap1,XM_015954670.1,XP_015810156.1,0.10022,0.08786,0.84182,0.0632,0.0334,0.5289,0.1064,0.0604,0.5678,0.1077,0.0834,0.7743,0.1114,0.0758,0.6799,0.1124,0.1863,1.6582
add1,XM_015942837.1,XP_015798323.1,0.04598,0.05882,1.39718,0.0431,0.038,0.882,0.0402,0.0542,1.3494,0.06,0.0662,1.103,0.0583,0.0631,1.0824,0.0283,0.0726,2.5691
adgra2,XM_015972310.1,XP_015827796.1,0.12886,0.13552,1.0581,0.1364,0.102,0.7474,0.1156,0.0894,0.7736,0.1362,0.1698,1.2469,0.1409,0.1415,1.0044,0.1152,0.1749,1.5182
adgra3,XM_015947012.1,XP_015802498.1,0.06496,0.12014,1.9256,0.094,0.1027,1.0935,0.0559,0.0858,1.5348,0.0569,0.1219,2.1425,0.05,0.111,2.2204,0.068,0.1793,2.6368
adgrb1,XM_015973539.1,XP_015829025.1,0.0555,0.06486,1.18062,0.053,0.0424,0.7997,0.0533,0.0476,0.8925,0.0568,0.0555,0.976,0.0613,0.0538,0.8788,0.0531,0.125,2.3561
adgrb3,XM_015944173.1,XP_015799659.1,0.05532,0.0441,0.9459,0.0832,0.0448,0.5383,0.0677,0.0313,0.4617,0.0516,0.0356,0.6884,0.0398,0.0322,0.809,0.0343,0.0766,2.2321
adgrg6,XM_015947902.1,XP_015803388.1,0.086,0.18502,2.23716,0.075,0.1495,1.994,0.1023,0.1689,1.6508,0.1073,0.1956,1.8228,0.0579,0.1745,3.0149,0.0875,0.2366,2.7033
adgrl2,XM_015970614.1,XP_015826100.1,0.03638,0.03562,1.17496,0.0492,0.0286,0.5829,0.0317,0.0222,0.6984,0.042,0.0312,0.743,0.0372,0.0294,0.7893,0.0218,0.0667,3.0612
adgrl4,XM_015970612.1,XP_015826098.1,0.09826,0.1189,1.22912,0.0892,0.0683,0.7656,0.1057,0.0767,0.7257,0.0933,0.1103,1.1814,0.0455,0.0845,1.8567,0.1576,0.2547,1.6162
adk,XM_015944196.1,XP_015799682.1,0.05288,0.06618,1.26246,0.0433,0.0544,1.2574,0.0659,0.0523,0.7941,0.0444,0.058,1.3043,0.0508,0.0618,1.2171,0.06,0.1044,1.7394
adm,XM_015953072.1,XP_015808558.1,0.27236,0.24518,0.93476,0.24,0.1828,0.7615,0.2764,0.197,0.7128,0.3029,0.2553,0.8429,0.3271,0.2436,0.7449,0.2154,0.3472,1.6117
adnp,XM_015968748.1,XP_015824234.1,0.05932,0.10296,1.7142,0.0607,0.067,1.1037,0.0422,0.0583,1.3808,0.0442,0.1012,2.2893,0.0595,0.1043,1.7537,0.09,0.184,2.0435
adora2a,XM_015971867.1,XP_015827353.1,0.03856,0.05448,1.61468,0.049,0.0421,0.8588,0.0245,0.0405,1.656,0.0544,0.0739,1.358,0.0443,0.0548,1.238,0.0206,0.0611,2.9626
adpgk,XM_015974797.1,XP_015830283.1,0.08374,0.11758,1.6108,0.0903,0.0849,0.941,0.0741,0.0902,1.2172,0.0763,0.1115,1.4617,0.1251,0.1155,0.9231,0.0529,0.1858,3.511
adprhl1,XM_015953397.1,XP_015808883.1,0.0821,0.082,0.98576,0.0897,0.0661,0.7373,0.0833,0.0624,0.7486,0.0586,0.0614,1.0475,0.083,0.0612,0.7375,0.0959,0.1589,1.6579
adprhl2,XM_015975684.1,XP_015831170.1,0.08358,0.09094,1.07996,0.0942,0.0668,0.7085,0.0614,0.0597,0.9729,0.0543,0.0701,1.2905,0.0688,0.0781,1.1346,0.1392,0.18,1.2933
adra1d,XM_015943639.1,XP_015799125.1,0.04002,0.0575,1.604,0.0383,0.0447,1.1691,0.0395,0.0446,1.1274,0.0389,0.0644,1.6544,0.0591,0.0596,1.0091,0.0243,0.0742,3.06
adrb1,XM_015963127.1,XP_015818613.1,0.02866,0.04004,1.38638,0.0331,0.0326,0.987,0.027,0.0272,1.0099,0.0231,0.0399,1.7287,0.0227,0.0299,1.3178,0.0374,0.0706,1.8885
adssl1,XM_015970292.1,XP_015825778.1,0.05644,0.05482,0.99132,0.0494,0.0385,0.7792,0.0561,0.0458,0.8162,0.0651,0.0488,0.7502,0.0603,0.0478,0.7938,0.0513,0.0932,1.8172
aebp2,XM_015953256.1,XP_015808742.1,0.05066,0.07568,1.48912,0.0591,0.0813,1.3768,0.0449,0.0514,1.1458,0.0416,0.0707,1.6999,0.0441,0.068,1.5398,0.0636,0.107,1.6833
aen,XM_015963869.1,XP_015819355.1,0.0967,0.178,1.8598,0.0842,0.1327,1.5758,0.0795,0.1316,1.6561,0.0682,0.175,2.5668,0.1082,0.1578,1.4579,0.1434,0.2929,2.0424
afap1,XM_015957796.1,XP_015813282.1,0.05876,0.0748,1.33024,0.0763,0.068,0.8918,0.057,0.0618,1.0852,0.0652,0.1023,1.5687,0.0343,0.061,1.7789,0.061,0.0809,1.3266
afap1l2,XM_015963137.1,XP_015818623.1,0.06594,0.10844,1.6935,0.0436,0.0949,2.1741,0.0719,0.0912,1.2682,0.0561,0.1019,1.816,0.0598,0.0949,1.5882,0.0983,0.1593,1.621
aff4,XM_015961376.1,XP_015816862.1,0.07108,0.08802,1.23756,0.0837,0.0843,1.0073,0.0757,0.0686,0.9063,0.0527,0.0687,1.3031,0.052,0.0699,1.3439,0.0913,0.1486,1.6272
afmid,XM_015970154.1,XP_015825640.1,0.08798,0.10946,1.3886,0.0451,0.1207,2.6745,0.0865,0.0802,0.9273,0.1098,0.099,0.9014,0.0853,0.0875,1.0265,0.1132,0.1599,1.4133
aga,XM_015950781.1,XP_015806267.1,0.12236,0.12856,1.22162,0.1034,0.0809,0.7819,0.1358,0.1118,0.8234,0.1909,0.144,0.7543,0.1098,0.1058,0.9634,0.0719,0.2003,2.7851
agbl5,XM_015948202.1,XP_015803688.1,0.05656,0.09378,1.64068,0.0558,0.07,1.254,0.0611,0.0757,1.2375,0.0457,0.0814,1.781,0.0461,0.0812,1.7625,0.0741,0.1606,2.1684
aggf1,XM_015959429.1,XP_015814915.1,0.07062,0.10668,1.47938,0.0617,0.0791,1.2818,0.0646,0.0902,1.396,0.0677,0.1026,1.5169,0.0686,0.0885,1.2896,0.0905,0.173,1.9126
agk,XM_015965458.1,XP_015820944.1,0.12752,0.12872,1.03494,0.1083,0.1013,0.9357,0.1701,0.1097,0.6449,0.1155,0.1203,1.0414,0.1147,0.136,1.1866,0.129,0.1763,1.3661
agl,XM_015957592.1,XP_015813078.1,0.08712,0.11078,1.27262,0.0769,0.0873,1.1353,0.1056,0.0972,0.9206,0.0696,0.0974,1.3992,0.0695,0.0931,1.3389,0.114,0.1789,1.5691
agmat,XM_015967102.1,XP_015822588.1,0.04542,0.06716,1.41596,0.0386,0.036,0.9337,0.0304,0.0325,1.0697,0.0463,0.0814,1.7573,0.0507,0.082,1.6178,0.0611,0.1039,1.7013
agpat3,XM_015966824.1,XP_015822310.1,0.0626,0.06346,1.06506,0.0588,0.0551,0.9362,0.0863,0.0689,0.7983,0.0565,0.0577,1.0204,0.0651,0.0576,0.8847,0.0463,0.078,1.6857
agpat5,XM_015975344.1,XP_015830830.1,0.14826,0.13486,1.08882,0.193,0.1273,0.6597,0.1306,0.1075,0.8227,0.1801,0.1361,0.7557,0.1656,0.1283,0.7745,0.072,0.1751,2.4315
agps,XM_015966450.1,XP_015821936.1,0.0677,0.0641,0.98198,0.0736,0.0507,0.6896,0.0826,0.0581,0.7025,0.0667,0.069,1.0349,0.059,0.0561,0.9515,0.0566,0.0866,1.5314
agrn,XM_015968514.1,XP_015824000.1,0.0536,0.0872,1.64778,0.0586,0.0796,1.3586,0.0413,0.0737,1.784,0.0371,0.0731,1.9704,0.059,0.0705,1.1951,0.072,0.1391,1.9308
agtpbp1,XM_015972748.1,XP_015828234.1,0.0749,0.09142,1.19428,0.0797,0.0689,0.8653,0.0577,0.0555,0.9628,0.0753,0.0895,1.1881,0.0745,0.0856,1.1499,0.0873,0.1576,1.8053
ahcy,XM_015958434.1,XP_015813920.1,0.02022,0.03126,1.55454,0.0227,0.0275,1.2106,0.0205,0.0287,1.4004,0.0182,0.0241,1.326,0.0199,0.0326,1.642,0.0198,0.0434,2.1937
ahcyl1,XM_015967727.1,XP_015823213.1,0.01634,0.0226,1.3183,0.0161,0.014,0.8687,0.0122,0.0118,0.968,0.0155,0.0212,1.3705,0.0169,0.0209,1.2355,0.021,0.0451,2.1488
ahcyl2,XM_015957208.1,XP_015812694.1,0.02048,0.01994,0.97966,0.0213,0.0149,0.699,0.0195,0.0133,0.6801,0.0249,0.0213,0.8539,0.0165,0.0164,0.997,0.0202,0.0338,1.6683
ahrr,XM_015954867.1,XP_015810353.1,0.08336,0.10158,1.26478,0.0868,0.0628,0.7239,0.092,0.0702,0.7628,0.0479,0.072,1.5052,0.0358,0.0638,1.783,0.1543,0.2391,1.549
aida,XM_015947476.1,XP_015802962.1,0.04842,0.05922,1.2632,0.0564,0.0518,0.9189,0.0601,0.0605,1.0081,0.0497,0.0746,1.5017,0.0397,0.0521,1.3127,0.0362,0.0571,1.5746
aifm1,XM_015961058.1,XP_015816544.1,0.06958,0.07836,1.27828,0.0616,0.0608,0.986,0.0844,0.065,0.7695,0.0951,0.0806,0.8479,0.064,0.0706,1.1035,0.0428,0.1148,2.6845
aifm3,XM_015972603.1,XP_015828089.1,0.078,0.06828,0.89788,0.0966,0.054,0.5584,0.0803,0.0507,0.6313,0.0591,0.0651,1.1006,0.0714,0.0638,0.8936,0.0826,0.1078,1.3055
aimp1,XM_015943701.1,XP_015799187.1,0.07714,0.07808,1.07932,0.0897,0.0771,0.8592,0.0708,0.0605,0.8548,0.0656,0.0712,1.0854,0.1037,0.0791,0.7627,0.0559,0.1025,1.8345
aimp2,XM_015945730.1,XP_015801216.1,0.10132,0.10522,1.03392,0.0809,0.0757,0.9358,0.1068,0.083,0.7769,0.0896,0.1069,1.1928,0.1081,0.1142,1.0567,0.1212,0.1463,1.2074
aipl1,XM_015951640.1,XP_015807126.1,0.0383,0.0729,1.95698,0.0333,0.0453,1.3628,0.0381,0.0664,1.744,0.0348,0.057,1.636,0.0198,0.0584,2.9441,0.0655,0.1374,2.098
ak1,XM_015942804.1,XP_015798290.1,0.0289,0.04174,1.45272,0.0265,0.0233,0.8807,0.0238,0.0388,1.6297,0.0174,0.0319,1.8355,0.0305,0.0392,1.288,0.0463,0.0755,1.6297
