logFC,AveExpr,t,P.Value,adj.P.Val,B,description,short.name,sub.cell,GO,GO.ID,gene.name,ID,Complex
6.287682464,22.9563066,7.728340275,0.00013422,0.008676812,1.675557693,Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma),LAMC1_MOUSE,SUBCELLULAR LOCATION: Secreted. extracellular space. extracellular matrix. basement membrane.,basal lamina [GO:0005605]; basement membrane [GO:0005604]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; laminin-1 complex [GO:0005606]; laminin-10 complex [GO:0043259]; extracellular matrix structural constituent [GO:0005201]; glycosphingolipid binding [GO:0043208]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; extracellular matrix disassembly [GO:0022617]; hemidesmosome assembly [GO:0031581]; neuron projection development [GO:0031175]; protein-containing complex assembly [GO:0065003]; substrate adhesion-dependent cell spreading [GO:0034446],GO:0005201; GO:0005576; GO:0005604; GO:0005605; GO:0005606; GO:0005615; GO:0007155; GO:0016477; GO:0022617; GO:0031012; GO:0031175; GO:0031581; GO:0034446; GO:0043208; GO:0043259; GO:0065003,Lamc1,P02468,NA
3.253156555,28.40506085,8.10395682,0.000100061,0.008676812,1.973324877,Histone H1.0 (Histone H1') (Histone H1(0)) (MyD196) [Cleaved into: Histone H1.0. N-terminally processed],H10_MOUSE,SUBCELLULAR LOCATION: Nucleus. Chromosome.,actin cytoskeleton [GO:0015629]; Golgi apparatus [GO:0005794]; nuclear body [GO:0016604]; nuclear chromatin [GO:0000790]; nuclear euchromatin [GO:0005719]; nucleosome [GO:0000786]; nucleus [GO:0005634]; AT DNA binding [GO:0003680]; chromatin DNA binding [GO:0031490]; double-stranded DNA binding [GO:0003690]; nucleosome assembly [GO:0006334],GO:0000786; GO:0000790; GO:0003680; GO:0003690; GO:0005634; GO:0005719; GO:0005794; GO:0006334; GO:0015629; GO:0016604; GO:0031490,H1f0,P10922,NA
2.749719809,26.8366367,8.114759579,9.92E-05,0.008676812,1.981682775,Histone H1.4 (H1 VAR.2) (H1e),H14_MOUSE,SUBCELLULAR LOCATION: Nucleus. Chromosome. Note=Mainly localizes in heterochromatin. Dysplays a punctuate staining pattern in the nucleus. {ECO:0000250}.,nuclear heterochromatin [GO:0005720]; nuclear nucleosome [GO:0000788]; nucleus [GO:0005634]; ADP binding [GO:0043531]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; chromatin DNA binding [GO:0031490]; dATP binding [GO:0032564]; DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; GTP binding [GO:0005525]; nucleotide binding [GO:0000166]; histone H3-K27 trimethylation [GO:0098532]; histone H3-K4 trimethylation [GO:0080182]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleosome assembly [GO:0006334]; nucleosome positioning [GO:0016584]; regulation of transcription by RNA polymerase II [GO:0006357],GO:0000122; GO:0000166; GO:0000788; GO:0003677; GO:0003690; GO:0005509; GO:0005524; GO:0005525; GO:0005634; GO:0005720; GO:0006334; GO:0006357; GO:0016208; GO:0016584; GO:0031490; GO:0032564; GO:0043531; GO:0080182; GO:0098532,Hist1h1e,P43274,NA
2.310916656,24.9769442,8.096534475,0.000100633,0.008676812,1.967575804,60S ribosomal protein L14,RL14_MOUSE,,cytosolic large ribosomal subunit [GO:0022625]; cadherin binding [GO:0045296]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; translation [GO:0006412],GO:0003723; GO:0003735; GO:0006364; GO:0006412; GO:0022625; GO:0042273; GO:0045296,Rpl14,Q9CR57,cytoplasmic ribosomal large subunit
-2.850284413,23.61067182,-8.866565423,0.000141291,0.008676812,1.764832607,Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase),LGUL_MOUSE,,cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; lactoylglutathione lyase activity [GO:0004462]; zinc ion binding [GO:0008270]; carbohydrate metabolic process [GO:0005975]; glutathione metabolic process [GO:0006749]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]; methylglyoxal metabolic process [GO:0009438]; negative regulation of apoptotic process [GO:0043066]; osteoclast differentiation [GO:0030316]; regulation of transcription by RNA polymerase II [GO:0006357],GO:0004462; GO:0005634; GO:0005829; GO:0005886; GO:0005975; GO:0006357; GO:0006749; GO:0008270; GO:0009438; GO:0019243; GO:0030316; GO:0043066,Glo1,Q9CPU0,NA
-3.219584903,23.19307999,-8.835455322,0.000144013,0.008676812,1.746504155,D-dopachrome decarboxylase (EC 4.1.1.84) (D-dopachrome tautomerase),DOPD_MOUSE,SUBCELLULAR LOCATION: Cytoplasm.,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; cytokine receptor binding [GO:0005126]; D-dopachrome decarboxylase activity [GO:0033981]; phenylpyruvate tautomerase activity [GO:0050178]; protease binding [GO:0002020]; melanin biosynthetic process [GO:0042438]; negative regulation of macrophage chemotaxis [GO:0010760]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of inflammatory response [GO:0050729]; positive regulation of tumor necrosis factor production [GO:0032760],GO:0002020; GO:0005126; GO:0005615; GO:0005737; GO:0010760; GO:0032760; GO:0033981; GO:0042438; GO:0050178; GO:0050729; GO:0070374,Ddt,O35215,NA
5.264312187,21.14537841,7.444289913,0.000168929,0.009047089,1.440790596,Nidogen-2 (NID-2) (Entactin-2),NID2_MOUSE,SUBCELLULAR LOCATION: Secreted. extracellular space. extracellular matrix. basement membrane.,basement membrane [GO:0005604]; cell surface [GO:0009986]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160],GO:0005509; GO:0005576; GO:0005604; GO:0005615; GO:0005886; GO:0007160; GO:0009986; GO:0031012,Nid2,O88322,NA
2.428847287,27.66186075,7.456933342,0.000167183,0.009047089,1.451422238,Histone H1.3 (H1 VAR.4) (H1d),H13_MOUSE,SUBCELLULAR LOCATION: Nucleus. Chromosome. Note=Mainly localizes in euchromatin. {ECO:0000250}.,nuclear chromatin [GO:0000790]; nuclear euchromatin [GO:0005719]; nucleosome [GO:0000786]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; histone H3-K27 trimethylation [GO:0098532]; histone H3-K4 trimethylation [GO:0080182]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleosome assembly [GO:0006334]; nucleosome positioning [GO:0016584]; regulation of transcription by RNA polymerase II [GO:0006357],GO:0000122; GO:0000786; GO:0000790; GO:0003677; GO:0005719; GO:0006334; GO:0006357; GO:0016584; GO:0031490; GO:0080182; GO:0098532,Hist1h1d,P43277,NA
3.732674052,22.07777899,7.892830264,0.000264533,0.013194613,1.152839359,Glycogenin-1 (GN-1) (GN1) (EC 2.4.1.186),GLYG_MOUSE,,glucose binding [GO:0005536]; glycogenin glucosyltransferase activity [GO:0008466]; metal ion binding [GO:0046872]; UDP-alpha-D-glucose:glucosyl-glycogenin alpha-D-glucosyltransferase activity [GO:0102751]; glycogen biosynthetic process [GO:0005978],GO:0005536; GO:0005978; GO:0008466; GO:0046872; GO:0102751,Gyg1,Q9R062,NA
2.14508789,22.58989882,6.8753678,0.000273747,0.013194613,0.94402112,Endonuclease domain-containing 1 protein (EC 3.1.30.-),ENDD1_MOUSE,SUBCELLULAR LOCATION: Secreted {ECO:0000305}.,extracellular region [GO:0005576]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676],GO:0003676; GO:0004519; GO:0005576; GO:0046872,Endod1,Q8C522,NA
-2.17272793,27.36606914,-6.810643871,0.000289773,0.013301955,0.885147248,Phosphatidylethanolamine-binding protein 1 (PEBP-1) (HCNPpp) [Cleaved into: Hippocampal cholinergic neurostimulating peptide (HCNP)];Phosphatidylethanolamine-binding protein 2 (PEBP-2),PEBP1_MOUSE;PEBP2_MOUSE,SUBCELLULAR LOCATION: Cytoplasm.;SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12193403}. Note=At the cell periphery in pachytene spermatocytes and round spermatids. in the distal dorsal region of the sperm head and in the sperm tail.,apical part of cell [GO:0045177]; axon terminus [GO:0043679]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; rough endoplasmic reticulum [GO:0005791]; synaptic vesicle [GO:0008021]; ATP binding [GO:0005524]; enzyme binding [GO:0019899]; kinase binding [GO:0019900]; lipid binding [GO:0008289]; mitogen-activated protein kinase binding [GO:0051019]; protein kinase binding [GO:0019901]; receptor serine/threonine kinase binding [GO:0033612]; serine-type endopeptidase inhibitor activity [GO:0004867]; signaling receptor binding [GO:0005102]; aging [GO:0007568]; eating behavior [GO:0042755]; hippocampus development [GO:0021766]; MAPK cascade [GO:0000165]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of protein phosphorylation [GO:0001933]; positive regulation of acetylcholine metabolic process [GO:0060409]; positive regulation of cAMP-mediated signaling [GO:0043950]; positive regulation of mitotic nuclear division [GO:0045840]; regulation of neurotransmitter levels [GO:0001505]; regulation of the force of heart contraction [GO:0002026]; response to activity [GO:0014823]; response to calcium ion [GO:0051592]; response to cAMP [GO:0051591]; response to corticosterone [GO:0051412]; response to electrical stimulus [GO:0051602]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]; response to wounding [GO:0009611]; sperm capacitation [GO:0048240];cytoplasm [GO:0005737]; ATP binding [GO:0005524]; lipid binding [GO:0008289]; serine-type endopeptidase inhibitor activity [GO:0004867],GO:0000165; GO:0001505; GO:0001933; GO:0002026; GO:0004867; GO:0005102; GO:0005524; GO:0005615; GO:0005737; GO:0005739; GO:0005741; GO:0005791; GO:0005794; GO:0006979; GO:0007568; GO:0008021; GO:0008289; GO:0009408; GO:0009611; GO:0009986; GO:0014823; GO:0019899; GO:0019900; GO:0019901; GO:0021766; GO:0033612; GO:0042755; GO:0043005; GO:0043025; GO:0043209; GO:0043409; GO:0043679; GO:0043950; GO:0045177; GO:0045471; GO:0045840; GO:0048240; GO:0051019; GO:0051412; GO:0051591; GO:0051592; GO:0051602; GO:0060409;GO:0004867; GO:0005524; GO:0005737; GO:0008289,Pebp1;Pbp2,P70296,NA
3.896222871,22.20960389,6.556059458,0.000363949,0.014618632,0.64867189,Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain],FIBA_MOUSE,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:7649481}.,blood microparticle [GO:0072562]; cell cortex [GO:0005938]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; fibrinogen complex [GO:0005577]; platelet alpha granule [GO:0031091]; rough endoplasmic reticulum [GO:0005791]; cell adhesion molecule binding [GO:0050839]; metal ion binding [GO:0046872]; signaling receptor binding [GO:0005102]; structural molecule activity [GO:0005198]; adaptive immune response [GO:0002250]; blood coagulation [GO:0007596]; blood coagulation. common pathway [GO:0072377]; blood coagulation. fibrin clot formation [GO:0072378]; cell-matrix adhesion [GO:0007160]; cellular protein-containing complex assembly [GO:0034622]; fibrinolysis [GO:0042730]; induction of bacterial agglutination [GO:0043152]; innate immune response [GO:0045087]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; plasminogen activation [GO:0031639]; platelet aggregation [GO:0070527]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of exocytosis [GO:0045921]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; positive regulation of peptide hormone secretion [GO:0090277]; positive regulation of protein secretion [GO:0050714]; positive regulation of smooth muscle cell migration [GO:0014911]; positive regulation of vasoconstriction [GO:0045907]; protein polymerization [GO:0051258]; protein-containing complex assembly [GO:0065003]; response to calcium ion [GO:0051592],GO:0002250; GO:0005102; GO:0005198; GO:0005577; GO:0005615; GO:0005737; GO:0005791; GO:0005938; GO:0007160; GO:0007596; GO:0009897; GO:0009986; GO:0014911; GO:0031091; GO:0031639; GO:0034116; GO:0034622; GO:0042730; GO:0043152; GO:0045087; GO:0045907; GO:0045921; GO:0046872; GO:0050714; GO:0050839; GO:0051258; GO:0051592; GO:0065003; GO:0070374; GO:0070527; GO:0072377; GO:0072378; GO:0072562; GO:0090277; GO:1902042; GO:2000352,Fga,E9PV24,NA
3.894189457,26.05295518,6.562151365,0.000361941,0.014618632,0.654423264,60S ribosomal protein L4,RL4_MOUSE,,A band [GO:0031672]; cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit [GO:0015934]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; rough endoplasmic reticulum [GO:0005791]; 5S rRNA binding [GO:0008097]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; positive regulation of axon extension [GO:0045773]; positive regulation of axonogenesis [GO:0050772],GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005791; GO:0008097; GO:0015934; GO:0022625; GO:0031672; GO:0045773; GO:0050772; GO:1990904,Rpl4,Q9D8E6,Yph1-L
2.743998907,25.50318894,6.55762983,0.000363431,0.014618632,0.65015492,60S ribosomal protein L18,RL18_MOUSE,SUBCELLULAR LOCATION: Cytoplasm. cytosol {ECO:0000250|UniProtKB:Q07020}. Cytoplasm {ECO:0000250|UniProtKB:Q07020}. Rough endoplasmic reticulum {ECO:0000250|UniProtKB:Q95342}. Note=Detected on cytosolic polysomes (By similarity). Detected in ribosomes that are associated with the rough endoplasmic reticulum (By similarity). {ECO:0000250|UniProtKB:Q07020. ECO:0000250|UniProtKB:Q95342}.,cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; endoplasmic reticulum [GO:0005783]; nucleolus [GO:0005730]; polysomal ribosome [GO:0042788]; rough endoplasmic reticulum [GO:0005791]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; translation [GO:0006412],GO:0002181; GO:0003723; GO:0003735; GO:0005730; GO:0005783; GO:0005791; GO:0005829; GO:0006412; GO:0022625; GO:0042788,Rpl18,P35980,cytoplasmic ribosomal large subunit
