N. furzeri symbol,N. furzeri Gene Id,N. furzeri Protein Id,Human,Mouse,Chicken,Rat,Spotted Gar,Zebrafish,Medaka,Stickleback,Tetarodon,Fugu,Worm,Fly,N. furzeri Final Symbol
guca1a,XM_015960691.1,XP_015816177.1,GUCA1A,Guca1a,ENSGALG00000027884,Guca1a,guca1a,guca1a,guca1a,guca1c,Guca1a,guca1a,ncs-2,Nca,guca1a
slc52a2,XM_015974094.1,XP_015829580.1,SLC52A1,Slc52a2,SLC52A3,Slc52a2,zgc:109744,SLC52A2,zgc:109744,zgc:109744,Slc52a2,zgc:109744,rft-1,CG11576,slc52a1
LOC107373153,XM_015941324.1,XP_015796810.1,STAT5B,Stat5b,Stat5,Stat5b,stat5a,stat5a,stat5b,stat5b,Stat5b,stat5a,,,stat5b (1 of 4)
LOC107396992,XM_015976846.1,XP_015832332.1,STAT5B,Stat5b,Stat5,Stat5b,stat5a,stat5a,stat5b,stat5b,Stat5b,stat5a,sta-1,Stat92E,stat5b (2 of 4)
LOC107378442,XM_015948649.1,XP_015804135.1,STAT5B,Stat5b,Stat5,Stat5b,stat5a,stat5a,stat5a,stat5a,Stat5b,stat5a,sta-1,Stat92E,stat5b (3 of 4)
LOC107372766,XM_015940969.1,XP_015796455.1,STAT5B,Stat5b,Stat5,Stat5b,stat5a,stat5a,,stat5b,Stat5b,stat5a,sta-1,Stat92E,stat5b (4 of 4)
ctdspl2,XM_015953153.1,XP_015808639.1,CTDSPL2,Ctdspl2,CTDSPL2,Ctdspl2,ctdspl2a,ctdspl2a,ctdspl2b,ctdspl2b,Ctdspl2,ctdspl2b,scpl-3,CG5830,ctdspl2 (1 of 3)
LOC107395504,XM_015974899.1,XP_015830385.1,CTDSPL2,Ctdspl2,CTDSPL2,Ctdspl2,ctdspl2a,ctdspl2a,ctdspl2a,ctdspl2a,Ctdspl2,ctdspl2a,scpl-3,CG5830,ctdspl2 (2 of 3)
LOC107392812,XM_015970829.1,XP_015826315.1,CTDSPL2,Ctdspl2,CTDSPL2,Ctdspl2,ctdspl3,ctdspl3,ctdspl3,ctdspl3,Ctdspl2,ctdspl2b,scpl-3,CG5830,ctdspl2 (3 of 3)
ubxn1,XM_015946919.1,XP_015802405.1,UBXN1,Ubxn1,UBXN4,Ubxn1,usp5,ubxn1,ubxn1,ubxn1,Ubxn1,ubxn1,ubxn-1,CG8209,ubxn1
LOC107381877,XM_015953805.1,XP_015809291.1,PBLD,Pbld2,PBLD,Pbld1,zgc:112210,PBLD_1_many,zgc:112210,,Pbld1,,T04A11.5,,pbld (1 of 2)
pbld,XM_015953811.1,XP_015809297.1,PBLD,Pbld2,PBLD,Pbld1,zgc:112210,PBLD_1_many,zgc:112210,,Pbld1,,T04A11.5,,pbld (2 of 2)
LOC107394344,XM_015973265.1,XP_015828751.1,SCARB2,Scarb2,SCARB2,Scarb2,scarb2,scarb2,scarb2,scarb2,Scarb2,scarb2,scav-2,emp,scarb2 (1 of 3)
LOC107395254,XM_015974584.1,XP_015830070.1,SCARB2,Scarb2,SCARB2,Scarb2,scarb2,CABZ01076275.1,ENSORLG00000006491,ENSGACG00000016305,Scarb2,ENSTRUG00000014301,scav-2,emp,scarb2 (2 of 3)
scarb2,XM_015940918.1,XP_015796404.1,SCARB2,Scarb2,SCARB2,Scarb2,wu:fi18e02,scarb2,wu:fi18e02,wu:fi18e02,Scarb2,wu:fi18e02,scav-3,emp,scarb2 (3 of 3)
LOC107379366,XM_015950086.1,XP_015805572.1,,,,,,CR391998.1,ENSORLG00000014441,,,,,,LOC107379366
nfxl1,XM_015942261.1,XP_015797747.1,NFXL1,Nfxl1,NFXL1,Nfxl1,nfxl1,nfxl1,,nfxl1,Nfxl1,nfxl1_1_many,nfx-1,CG15011,nfxl1
l3mbtl2,XM_015963648.1,XP_015819134.1,L3MBTL2,L3mbtl2,L3MBTL2,L3mbtl2,mbtd1,l3mbtl2,l3mbtl2,l3mbtl2,L3mbtl2,l3mbtl2,lin-61,Sfmbt,l3mbtl2
LOC107395108,XM_015974395.1,XP_015829881.1,,Tnfsf15,,,TNFSF15,,,,,,,,LOC107395108
otog,XM_015953842.1,XP_015809328.1,OTOG,Otog,OTOG,Otog,OTOG,otogl,ENSORLG00000019694,OTOG,Otog,OTOG,ttn-1,Hml,otog
pde11a,XM_015966448.1,XP_015821934.1,PDE11A,Pde11a,PDE11A,Cyct,pde11a,pde11a,pde11al,pde11a,Cyct,pde11a,pde-5,Pde11,pde11a (1 of 2)
LOC107395328,XM_015974690.1,XP_015830176.1,PDE11A,Pde11a,PDE11A,Cyct,pde11al,pde11al,pde11al,pde11al,Cyct,pde11al,pde-5,Pde11,pde11a (2 of 2)
mea1,XM_015945987.1,XP_015801473.1,MEA1,Mea1,,Mea1,mea1,mea1,mea1,mea1,Mea1,mea1,,,mea1
LOC107384434,XM_015957715.1,XP_015813201.1,DNAH11,Dnah11,DNAH17,Dnah11,dnah9l,dnah9l,dnah9l,dnah9l,Dnah11,dnah9l,dhc-1,Dhc93AB,dnah11 (1 of 5)
LOC107378680,XM_015949023.1,XP_015804509.1,DNAH11,Dnah11,DNAH17,Dnah11,dnah11,dnah11,dnah11,DNAH9,Dnah11,dnah9l,,Dhc93AB,dnah11 (2 of 5)
LOC107378628,XM_015948934.1,XP_015804420.1,DNAH11,Dnah11,DNAH9,Dnah11,dnah9l,dnah11,dnah11,dnah11,Dnah11,dnah9l,che-3,Dhc93AB,dnah11 (3 of 5)
LOC107378630,XM_015948935.1,XP_015804421.1,DNAH11,Dnah11,DNAH9,Dnah11,dnah11,dnah11,dnah11,dnah9l,Dnah11,dnah9l,,Dhc93AB,dnah11 (4 of 5)
LOC107378681,XM_015949024.1,XP_015804510.1,DNAH11,Dnah11,DNAH17,Dnah11,dnah11,dnah11,,dnah9l,Dnah11,dnah9l,,Dhc93AB,dnah11 (5 of 5)
LOC107384347,XM_015957573.1,XP_015813059.1,,,,,buc,buc,ENSORLG00000008307,ENSGACG00000014800,,,,,LOC107384347
LOC107394472,XM_015973412.1,XP_015828898.1,ZNF615,Zfp658,ENSGALG00000004898,AABR07002870.1,ENSLOCG00000017347,THAP6_1_many,ENSORLG00000007097,ENSGACG00000010051,AABR07002870.1,si:ch73-130a3.4,Y55F3AM.14,crol,znf615
cdh24,XM_015957361.1,XP_015812847.1,CDH24,Cdh24,CDH11,Cdh24,cdh11,cdh24b,cdh24b,cdh24b,Cdh24,cdh24b,fmi-1,kug,cdh24 (1 of 2)
LOC107396061,XM_015975585.1,XP_015831071.1,CDH24,Cdh24,CDH11,Cdh24,cdh11,cdh24b,,cdh24b,Cdh24,cdh24a,hmr-1,CadN,cdh24 (2 of 2)
bbx,XM_015960666.1,XP_015816152.1,BBX,Bbx,BBX,Bbx,bbx,bbx,bbx,bbx,Bbx,bbx,gei-3,bbx,bbx
grpel1,XM_015946024.1,XP_015801510.1,GRPEL1,Grpel1,GRPEL1,Grpel1,grpel1,grpel1,grpel1,grpel1,Grpel1,grpel1,C34C12.8,Roe1,grpel1
LOC107381606,XM_015953356.1,XP_015808842.1,,,,,,,,,,,,,LOC107381606
plod2,XM_015955102.1,XP_015810588.1,PLOD2,Plod2,PLOD2,Plod2,plod2,plod2,plod2,plod2,Plod2,plod2,let-268,Plod,plod2
ptgr2,XM_015969597.1,XP_015825083.1,PTGR2,Ptgr2,PTGR2,Ptgr2,ptgr2,ptgr2,ptgr2,ptgr2,Ptgr2,ptgr2,M106.3,,ptgr2
dock1,XM_015962545.1,XP_015818031.1,DOCK1,Dock1,DOCK1,Dock1,dock1,dock5,dock1,dock5,Dock1,dock1,ced-5,mbc,dock1
nol9,XM_015967130.1,XP_015822616.1,NOL9,Nol9,NOL9,Nol9,nol9,nol9,ENSORLG00000019306,nol9,Nol9,nol9,nol-9,CG8414,nol9
pdpr,XM_015974241.1,XP_015829727.1,PDPR,Pdpr,PDPR,Pdpr,PDPR,PDPR,PDPR,PDPR,Pdpr,PDPR,Y106G6H.5,CG3626,pdpr
LOC107388682,XM_015964317.1,XP_015819803.1,,,,,ENSLOCG00000003839,,ENSORLG00000014103,,,,T26G10.4,,LOC107388682
LOC107393657,XM_015972191.1,XP_015827677.1,AC007325.4,Dgcr6,DGCR6,Dgcr6,dgcr6,dgcr6,dgcr6,dgcr6,Dgcr6,dgcr6,,gdl,ac007325.4
LOC107386175,XM_015960404.1,XP_015815890.1,,,,,,si:dkey-30j10.5,,,,,,,LOC107386175
LOC107389382,XM_015965508.1,XP_015820994.1,CXCR1,Cxcr2,CCR9,Cxcr2,cxcr2,cxcr2,cxcr2,cxcr2,Cxcr2,cxcr2,npr-6,AstC-R2,cxcr1 (1 of 3)
LOC107380881,XM_015952270.1,XP_015807756.1,CXCR1,Cxcr2,CCR9,Cxcr2,si:ch73-54b5.2,si:ch73-54b5.2,si:ch73-54b5.2,si:ch73-54b5.2,Cxcr2,si:ch73-54b5.2,npr-32,AstC-R1,cxcr1 (2 of 3)
LOC107389373,XM_015965492.1,XP_015820978.1,CXCR1,Cxcr2,CCR9,Cxcr2,si:ch73-54b5.2,si:ch73-54b5.2,,ENSGACG00000002306,Cxcr2,ENSTRUG00000003419,npr-2,ETHR,cxcr1 (3 of 3)
LOC107397197,XM_015977121.1,XP_015832607.1,LALBA,Spaca5,,Spaca5,,,ENSORLG00000001417,lyz,Spaca5,lyz,,LysS,lalba (1 of 3)
LOC107395479,XM_015974873.1,XP_015830359.1,LALBA,,,,,,ENSORLG00000001396,,,,,,lalba (2 of 3)
LOC107397198,XM_015977122.1,XP_015832608.1,LALBA,Lyz1,,Lyz2,,,,,Lyz2,,,CG16799,lalba (3 of 3)
aplp1,XM_015948973.1,XP_015804459.1,APLP1,Aplp2,APLP2,Aplp1,aplp1,aplp1,aplp1,aplp1,Aplp1,aplp1,apl-1,Appl,aplp1
fh,XM_015971380.1,XP_015826866.1,FH,Fh1,FH,Fh,fh,fh,fh,fh,Fh,fh,fum-1,l(1)G0255,fh
LOC107395102,XM_015974385.1,XP_015829871.1,FAM111A,Fam111a,,Fam111a,si:ch1073-475a24.1,FP102192.2,si:ch1073-475a24.1,ENSGACG00000018668,Fam111a,,,,fam111a
LOC107382297,XM_015954398.1,XP_015809884.1,LRRC8E,Lrrc8e,LRRC8C,Lrrc8c,si:zfos-323e3.4,LRRC8E,si:zfos-323e3.4,si:zfos-323e3.4,Lrrc8c,si:zfos-323e3.4,let-413,Lap1,lrrc8e
LOC107385160,XM_015958850.1,XP_015814336.1,RAB44,Rab44,RAB44,Rab44,ENSLOCG00000012526,rab44,rab44,rab44,Rab44,ENSTRUG00000006692,rsef-1,Rab26,rab44
LOC107379305,XM_015950006.1,XP_015805492.1,ETHE1,Ethe1,ETHE1,Ethe1,ethe1,ethe1,ethe1,ethe1,Ethe1,ethe1,ethe-1,CG30022,ethe1 (1 of 2)
LOC107379304,XM_015950005.1,XP_015805491.1,ETHE1,Ethe1,ETHE1,Ethe1,ethe1,ethe1,,ethe1,Ethe1,ethe1,ethe-1,CG30022,ethe1 (2 of 2)
gapvd1,XM_015972163.1,XP_015827649.1,GAPVD1,Gapvd1,GAPVD1,Gapvd1,gapvd1,gapvd1,gapvd1,gapvd1,Gapvd1,gapvd1,rme-6,CG1657,gapvd1
pcyt1a,XM_015957168.1,XP_015812654.1,PCYT1A,Pcyt1a,PCYT1A,Pcyt1a,pcyt1ab,pcyt1aa,pcyt1ab,pcyt1ab,Pcyt1a,pcyt1ab,pcyt-1,Cct1,pcyt1a
rnf150,XM_015965534.1,XP_015821020.1,RNF150,Rnf150,RNF150,Rnf150,rnf150a,rnf150a,rnf150b,rnf150a,Rnf150,rnf150a,H10E21.5,gol,rnf150 (1 of 2)
LOC107376841,XM_015946154.1,XP_015801640.1,RNF150,Rnf150,RNF150,Rnf150,rnf150a,rnf150b,,rnf150b_1_many,Rnf150,rnf150b,H10E21.5,gol,rnf150 (2 of 2)
LOC107375124,XM_015943494.1,XP_015798980.1,FAM129B,Fam129b,FAM129B,Fam129b,fam129ba,fam129ba,fam129ba,fam129ba,Fam129b,fam129ba,,,fam129b
pfdn2,XM_015946419.1,XP_015801905.1,PFDN2,Pfdn2,PFDN2,Pfdn2,,pfdn2,pfdn2,pfdn2,Pfdn2,pfdn2,pfd-2,l(3)01239,pfdn2
arhgap22,XM_015944267.1,XP_015799753.1,ARHGAP22,Arhgap22,ARHGAP22,Arhgap22,arhgap22,arhgap22,arhgap22,arhgap22,Arhgap22,arhgap22,pac-1,RhoGAP92B,arhgap22 (1 of 2)
LOC107388202,XM_015963621.1,XP_015819107.1,ARHGAP22,Arhgap22,ARHGAP22,Arhgap22,arhgap22,ARHGAP22_1_many,si:dkey-191m6.4,si:dkey-191m6.4,Arhgap22,si:dkey-191m6.4,pac-1,CdGAPr,arhgap22 (2 of 2)
rbm20,XM_015967610.1,XP_015823096.1,RBM20,Rbm20,RBM20,Rbm20,RBM20,ZNF638,ptbp2a,RBM20_1_many,Rbm20,RBM20,,heph,rbm20
kiaa0391,XM_015975658.1,XP_015831144.1,KIAA0391,1110008L16Rik,ENSGALG00000010054,RGD1305089,si:dkeyp-33b5.4,si:dkeyp-33b5.4,si:dkeyp-33b5.4,si:dkeyp-33b5.4,RGD1305089,si:dkeyp-33b5.4,,CG15896,kiaa0391
kcnh1,XM_015944673.1,XP_015800159.1,KCNH1,Kcnh1,KCNH1,Kcnh1,kcnh1b,kcnh1a,kcnh1a,kcnh1a,Kcnh1,kcnh1a,egl-2,eag,kcnh1 (1 of 3)
LOC107395061,XM_015974337.1,XP_015829823.1,KCNH1,Kcnh1,KCNH1,Kcnh1,kcnh1b,kcnh1b,kcnh1a,kcnh1b,Kcnh1,kcnh1a,egl-2,eag,kcnh1 (2 of 3)
LOC107382274,XM_015954365.1,XP_015809851.1,KCNH1,Kcnh1,KCNH5,Kcnh1,kcnh1b,kcnh1b,KCNH5,kcnh1b,Kcnh1,kcnh1a,egl-2,eag,kcnh1 (3 of 3)
LOC107387923,XM_015963193.1,XP_015818679.1,NXPH1,Nxph1,NXPH1,Nxph1,nxph3,nxph1,nxph3,NXPH3_1_many,Nxph1,nxph2b,,,nxph1 (1 of 4)
nxph1,XM_015949808.1,XP_015805294.1,NXPH1,Nxph1,NXPH1,Nxph1,nxph1,nxph1,ENSORLG00000016566,ENSGACG00000012886,Nxph1,ENSTRUG00000008316,,,nxph1 (2 of 4)
LOC107395327,XM_015974689.1,XP_015830175.1,NXPH1,Nxph1,NXPH1,Nxph1,nxph1,nxph1,,nxph1,Nxph1,nxph1,,,nxph1 (3 of 4)
nxph3,XM_015948774.1,XP_015804260.1,NXPH1,Nxph1,NXPH1,Nxph1,nxph3,nxph1,,nxph3,Nxph1,nxph1,,,nxph1 (4 of 4)
foxo1,XM_015951330.1,XP_015806816.1,FOXO1,Foxo1,FKHR,Foxo1,foxo1a,foxo1a,foxo1a,foxo1a,Foxo1,foxo1a,daf-16,foxo,foxo1 (1 of 2)
LOC107386483,XM_015960902.1,XP_015816388.1,FOXO1,Foxo1,FKHR,Foxo1,foxo1a,foxo1a,,foxo1b,Foxo1,foxo1b,daf-16,foxo,foxo1 (2 of 2)
ccm2l,XM_015968388.1,XP_015823874.1,CCM2L,Ccm2l,CCM2L,Ccm2l,ccm2l,ccm2l,ccm2l,ccm2l,Ccm2l,ccm2l_1_many,,,ccm2l
npc1l1,XM_015972207.1,XP_015827693.1,NPC1L1,Npc1l1,NPC1,Npc1l1,NPC1L1,NPC1L1,NPC1L1,NPC1L1,Npc1l1,NPC1L1,ncr-1,Npc1a,npc1l1
LOC107379852,XM_015950803.1,XP_015806289.1,SNAP25,Snap25,SNAP25,Snap25,zgc:101731,zgc:101731,zgc:101731,zgc:101731,Snap25,zgc:101731_1_many,ric-4,Snap25,snap25 (1 of 3)
LOC107382039,XM_015954008.1,XP_015809494.1,SNAP25,Snap25,SNAP25,Snap25,snap25b,snap25b,snap25a,snap25a_1_many,Snap25,snap25a_1_many,ric-4,Snap25,snap25 (2 of 3)
snap25,XM_015948366.1,XP_015803852.1,SNAP25,Snap25,SNAP25,Snap25,snap25b,snap25a,snap25a,snap25a_1_many,Snap25,snap25a_1_many,ric-4,Snap24,snap25 (3 of 3)
LOC107385714,XM_015959790.1,XP_015815276.1,,,,,,lepb,zeb2a,,,,,,LOC107385714
LOC107397193,XM_015977118.1,XP_015832604.1,,,,,ifngr1,crfb17,crfb17,crfb17,,,,,LOC107397193
myc,XM_015954706.1,XP_015810192.1,MYC,Myc,MYC,Myc,myca,mycb,myca,myca,Myc,myca,mxl-1,Max,myc (1 of 2)
LOC107383716,XM_015956502.1,XP_015811988.1,MYC,Myc,MYC,Myc,myca,mycb,myca,myca,Myc,myca,mxl-3,dm,myc (2 of 2)
LOC107394701,XM_015973761.1,XP_015829247.1,BLOC1S4,Bloc1s4,BLOC1S4,Bloc1s4,bloc1s4,bloc1s4,,bloc1s4,Bloc1s4,bloc1s4,,Blos4,bloc1s4
cstf1,XM_015960106.1,XP_015815592.1,CSTF1,Cstf1,CSTF1,Cstf1,cstf1,cstf1,cstf1,cstf1,Cstf1,cstf1_1_many,cpf-1,CstF-50,cstf1
LOC107377430,XM_015946996.1,XP_015802482.1,,,,,,si:ch73-59f11.3,,si:zfos-128g4.2,,,,CG8765,LOC107377430
LOC107385969,XM_015960107.1,XP_015815593.1,ZNF831,Zfp831,HIVEP1,Zfp831,znf831,znf831,hivep2a,znf831,Zfp831,hivep1,sma-9,shn,znf831
ero1b,XM_015974338.1,XP_015829824.1,ERO1B,Ero1lb,ERO1B,Ero1b,ero1b,ero1b,ero1b,ero1b,Ero1b,ero1b,ero-1,Ero1L,ero1b
csgr09h6orf47,XM_015955800.1,XP_015811286.1,C6orf47,D17H6S53E,,G4,,si:ch73-25f10.6,,,G4,,,,c6orf47
ttyh3,XM_015948624.1,XP_015804110.1,TTYH3,Ttyh3,TTYH3,Ttyh3,ttyh3b,ttyh3a,ttyh3a,ttyh3a,Ttyh3,ttyh3a,ttyh-1,tty,ttyh3 (1 of 2)
LOC107389956,XM_015966397.1,XP_015821883.1,TTYH3,Ttyh3,TTYH3,Ttyh3,ttyh3b,ttyh3b,ttyh3b,ttyh3b,Ttyh3,ttyh3b,ttyh-1,tty,ttyh3 (2 of 2)
LOC107384975,XM_015958519.1,XP_015814005.1,RBM12,Gm28036,RBM12B,Rbm12,rbm12,rbm12,rbm12,rbm12,Rbm12,rbm12,Y106G6D.7,CG7879,rbm12
LOC107386183,XM_015960417.1,XP_015815903.1,CNNM4,Cnnm4,CNNM4,Cnnm4,CNNM4,cnnm4b,cnnm2b,si:ch211-230g14.6,Cnnm4,cnnm4b,C52D10.12,uex,cnnm4 (1 of 2)
LOC107395816,XM_015975285.1,XP_015830771.1,CNNM4,Cnnm4,CNNM4,Cnnm4,CNNM4,cnnm4b,,si:ch211-230g14.6,Cnnm4,CNNM4_1_many,C52D10.12,uex,cnnm4 (2 of 2)
LOC107386024,XM_015960182.1,XP_015815668.1,OPCML,Opcml,OPCML,Opcml,ntm,ntm,ntm,ntm,Opcml,ntm,him-4,CG34353,opcml
adssl1,XM_015970292.1,XP_015825778.1,ADSS,Adssl1,ADSSL1,Adssl1,adssl1,adssl1,adssl1,adssl1,Adssl1,adssl1,adss-1,AdSS,adss (1 of 3)
LOC107386682,XM_015961229.1,XP_015816715.1,ADSS,Adss,ADSSL1,Adss,adssl1,adssl,adssl,adssl,Adss,adss,adss-1,AdSS,adss (2 of 3)
LOC107375820,XM_015944580.1,XP_015800066.1,ADSS,Adss,ADSSL1,Adss,adssl1,adss,,adss,Adss,adss,adss-1,AdSS,adss (3 of 3)
pou1f1,XM_015965533.1,XP_015821019.1,POU1F1,Pou1f1,Pit-1,Pou1f1,pou1f1,pou1f1,pou1f1,pou1f1,Pou1f1,pou1f1,ceh-6,vvl,pou1f1
tsc2,XM_015966933.1,XP_015822419.1,TSC2,Tsc2,Tsc2,Tsc2,TSC2,TSC2,TSC2,TSC2,Tsc2,TSC2,sipa-1,gig,tsc2
LOC107391828,XM_015969282.1,XP_015824768.1,RAB11FIP5,Rab11fip2,RAB11FIP5,Rab11fip2,rab11fip5a,rab11fip5a,RAB11FIP5_1_many,RAB11FIP5_1_many,Rab11fip2,rab11fip5a,Y39F10B.1,Rip11,rab11fip5 (1 of 2)
rab11fip5,XM_015942945.1,XP_015798431.1,RAB11FIP5,Rab11fip5,RAB11FIP5,Rab11fip2,rab11fip5a,RAB11FIP5_1_many,RAB11FIP5_1_many,RAB11FIP5_1_many,Rab11fip2,RAB11FIP5_1_many,unc-13,Rip11,rab11fip5 (2 of 2)
LOC107386485,XM_015960907.1,XP_015816393.1,CLDN15,Cldn15,CLDN10,Cldn15,CLDN15_1_many,cldn15a,cldn15b,CLDN15_1_many,Cldn15,CLDN15_1_many,,,cldn15 (1 of 2)
cldn15,XM_015976289.1,XP_015831775.1,CLDN15,Cldn10,CLDN10,Cldn15,CLDN15_1_many,cldn15a,cldn15b,CLDN15_1_many,Cldn15,CLDN15_1_many,,,cldn15 (2 of 2)
parpbp,XM_015961355.1,XP_015816841.1,PARPBP,Parpbp,PARPBP,Parpbp,parpbp,parpbp,parpbp,parpbp,Parpbp,parpbp,,,parpbp
reln,XM_015964078.1,XP_015819564.1,RELN,Reln,RELN,Reln,RELN,RELN,RELN,RELN,Reln,RELN,F28B4.3,CG17739,reln
fcer1g,XM_015958229.1,XP_015813715.1,CD247,Fcer1g,CD247,Fcer1g,cd247l,fcer1g,,,Fcer1g,,,,cd247 (1 of 3)
LOC107384571,XM_015957899.1,XP_015813385.1,CD247,Cd247,CD247,Cd247,cd247l,cd247l,,,Cd247,,,,cd247 (2 of 3)
cd247,XM_015966187.1,XP_015821673.1,CD247,Cd247,CD247,Cd247,cd247l,cd247l,,,Cd247,,,,cd247 (3 of 3)
LOC107375045,XM_015943387.1,XP_015798873.1,IER5L,Ier5l,IER5,Ier5l,ier5l,ier5l,ier5l,IER5L_1_many,Ier5l,IER5L_1_many,,,ier5l (1 of 2)
LOC107374115,XM_015942268.1,XP_015797754.1,IER5L,Ier5l,,Ier5l,ier5l,ier5l,,ier5l,Ier5l,ier5l,,,ier5l (2 of 2)
lrrc10b,XM_015964087.1,XP_015819573.1,LRRC10B,Lrrc10b,LRRC10B,Lrrc10b,lrrc10,lrrc10,LRRC10B,LRRC10B,Lrrc10b,LRRC10B,let-413,CG10307,lrrc10b
dhx35,XM_015968066.1,XP_015823552.1,DHX35,Dhx35,DHX35,Dhx35,zgc:158828,DHX35,zgc:158828,zgc:158828,Dhx35,zgc:158828,Y67D2.6,CG3225,dhx35 (1 of 3)
LOC107396113,XM_015975662.1,XP_015831148.1,DHX35,Dhx35,DHX35,Dhx35,zgc:158828,DHX35,,zgc:158828,Dhx35,zgc:158828,Y67D2.6,CG3225,dhx35 (2 of 3)
LOC107376587,XM_015945750.1,XP_015801236.1,DHX35,Dhx35,DHX35,Dhx35,zgc:158828,DHX35,,zgc:158828,Dhx35,zgc:158828,Y67D2.6,CG3225,dhx35 (3 of 3)
LOC107387069,XM_015961835.1,XP_015817321.1,,,,,,MYOF_1_many,,,,,,,LOC107387069
LOC107380894,XM_015952288.1,XP_015807774.1,RERG,Rerg,RERG,Rerg,zgc:110699,zgc:110699,zgc:110699,zgc:110699,Rerg,RERG,ras-2,CG5160,rerg (1 of 3)
rerg,XM_015953817.1,XP_015809303.1,RERG,Rerg,RERG,Rerg,RERG,rit1,RERG,RERG,Rerg,RERG,rap-1,Ric,rerg (2 of 3)
LOC107379053,XM_015949639.1,XP_015805125.1,RERG,Rergl,RERGL,Rergl,zgc:171704,zgc:64022,,si:dkeyp-59c12.1,Rergl,si:dkeyp-59c12.1,ral-1,CG8519,rerg (3 of 3)
LOC107393461,XM_015971825.1,XP_015827311.1,MEGF9,Megf9,MEGF9,Megf9,si:dkey-220k22.1,si:ch211-158d24.2,,si:dkey-220k22.1,Megf9,si:dkey-220k22.1,lam-1,LanB1,megf9
LOC107386932,XM_015961622.1,XP_015817108.1,UGT2A3,Ugt1a2,ENSGALG00000011805,RGD1559459,ugt5d1_1_many,ugt5d1,,ugt5d1,RGD1559459,ugt5d1,ugt-58,Ugt35b,ugt2a3
lhx6,XM_015940804.1,XP_015796290.1,LHX6,Lhx6,LHX6,Lhx6,lhx6,lhx6,lhx6,lhx6,Lhx6,lhx6_1_many,lim-4,Awh,lhx6 (1 of 2)
